zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.169734,77.643832,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.5,0.4,0.283,0.082,0.002,0.443,0.447,0.562,0.348,0.195,0.153,0.493,0.597,0.525,0.431,5.88,0.395,0.185,0.379,0.19,0.46,8
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.173579,77.636564,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.46,0.67,0.285,0.082,0.126,0.137,0.48,0.535,0.253,0.271,0.171,0.445,0.465,0.526,0.456,1.08,0.452,0.06,0.416,0.26,0.419,2
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.162205,77.631669,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.15,0.62,0.262,0.074,0.184,0.512,0.457,0.547,0.351,0.29,0.153,0.338,0.568,0.483,0.459,4.25,0.401,0.11,0.362,0.287,0.514,8
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.168701,77.636473,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.27,0.29,0.318,0.082,0.373,0.672,0.407,0.533,0.227,0.165,0.195,0.397,0.492,0.477,0.402,2.39,0.401,0.169,0.328,0.168,0.48,6
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.169604,77.642959,Chikkajala,Chikkajala,,tertiary,tertiary,none,7.5m,40.0,0.27,0.49,0.347,0.093,0.011,0.294,0.546,0.595,0.211,0.386,0.118,0.499,0.542,0.485,0.398,16.9,0.515,0.21,0.566,0.382,0.419,4
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.161714,77.631778,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.39,0.64,0.281,0.067,0.042,0.509,0.436,0.576,0.302,0.237,0.176,0.422,0.57,0.51,0.447,3.15,0.443,0.205,0.318,0.246,0.443,6
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.161518,77.632135,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.51,0.57,0.289,0.066,0.027,0.357,0.432,0.579,0.313,0.206,0.182,0.507,0.5,0.575,0.401,8.55,0.373,0.067,0.447,0.209,0.476,6
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.17186,77.636536,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.55,0.42,0.276,0.081,0.316,0.789,0.488,0.578,0.31,0.226,0.14,0.512,0.566,0.504,0.415,10.55,0.41,0.07,0.414,0.216,0.483,6
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.169204,77.632072,Chikkajala,Chikkajala,New Airport Road,tertiary,tertiary,none,7.5m,40.0,0.46,0.51,0.368,0.091,0.292,0.159,0.529,0.61,0.202,0.413,0.185,0.579,0.497,0.473,0.43,0.65,0.51,0.213,0.542,0.398,0.338,4
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.172731,77.640375,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.1,0.47,0.294,0.075,0.395,0.229,0.468,0.494,0.336,0.258,0.176,0.349,0.518,0.493,0.418,8.69,0.326,0.101,0.41,0.25,0.398,6
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.170318,77.641837,Chikkajala,Chikkajala,,tertiary,tertiary,none,7.5m,40.0,0.24,0.52,0.338,0.099,0.351,0.681,0.545,0.61,0.249,0.317,0.19,0.548,0.537,0.463,0.363,14.79,0.402,0.122,0.452,0.286,0.422,6
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.161407,77.631417,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.43,0.57,0.317,0.079,0.019,0.504,0.49,0.569,0.28,0.253,0.123,0.474,0.499,0.524,0.392,3.79,0.372,0.272,0.393,0.233,0.41,6
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.163894,77.636049,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.38,0.63,0.312,0.073,0.248,0.691,0.406,0.541,0.243,0.207,0.184,0.412,0.482,0.514,0.432,2.68,0.406,0.07,0.408,0.218,0.476,6
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.170037,77.639876,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.52,0.27,0.31,0.073,0.47,0.675,0.421,0.59,0.263,0.301,0.131,0.494,0.497,0.477,0.378,10.05,0.385,0.111,0.4,0.293,0.482,6
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.170338,77.631393,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.17,0.64,0.27,0.077,0.034,0.125,0.438,0.501,0.37,0.223,0.063,0.4,0.495,0.476,0.437,8.3,0.345,0.168,0.334,0.208,0.411,6
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.162639,77.634309,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.14,0.42,0.265,0.081,0.187,0.465,0.436,0.455,0.356,0.221,0.151,0.387,0.337,0.546,0.462,5.32,0.403,0.178,0.334,0.224,0.481,2
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.163754,77.633004,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.59,0.64,0.302,0.076,0.165,0.309,0.439,0.561,0.383,0.237,0.06,0.444,0.605,0.551,0.449,12.83,0.504,0.262,0.355,0.252,0.513,8
AIRPORT & PERIPHERAL ZONES,Bi-directional,13.163657,77.633288,Chikkajala,Chikkajala,,residential,residential,none,7.5m,40.0,0.47,0.68,0.287,0.075,0.27,0.118,0.493,0.486,0.391,0.219,0.194,0.466,0.593,0.483,0.42,12.17,0.391,0.1,0.364,0.206,0.468,8
