zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.99354,77.669031,Tin Factory,Tin Factory,Netharavathi Road,residential,residential,none,7.5m,30.0,0.12,0.28,0.458,0.109,0.18,0.571,0.433,0.495,0.395,0.311,0.124,0.353,0.439,0.533,0.472,2.8,0.491,0.124,0.322,0.293,0.534,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.990516,77.676603,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.34,0.4,0.388,0.1,0.098,0.81,0.425,0.475,0.404,0.263,0.2,0.393,0.522,0.445,0.465,3.66,0.52,0.167,0.348,0.264,0.52,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,13.001429,77.666634,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.36,0.59,0.419,0.125,0.455,0.108,0.392,0.533,0.348,0.249,0.103,0.406,0.496,0.441,0.398,2.79,0.486,0.088,0.41,0.276,0.402,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.993493,77.670173,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.21,0.56,0.463,0.116,0.374,0.375,0.4,0.508,0.363,0.255,0.194,0.346,0.539,0.472,0.488,6.48,0.502,0.258,0.419,0.248,0.454,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.999801,77.67089,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.12,0.45,0.419,0.101,0.166,0.48,0.401,0.436,0.428,0.29,0.079,0.36,0.456,0.427,0.463,8.35,0.472,0.27,0.357,0.316,0.529,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.993122,77.67351,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.18,0.61,0.408,0.11,0.085,0.175,0.48,0.542,0.455,0.242,0.168,0.367,0.529,0.537,0.466,14.06,0.57,0.151,0.385,0.27,0.457,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.995592,77.670615,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.58,0.52,0.475,0.11,0.298,0.853,0.465,0.557,0.353,0.315,0.141,0.41,0.567,0.465,0.456,1.42,0.546,0.171,0.401,0.343,0.578,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.995859,77.672038,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.36,0.31,0.391,0.116,0.158,0.83,0.434,0.539,0.451,0.331,0.157,0.39,0.46,0.474,0.516,2.88,0.558,0.102,0.404,0.304,0.604,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,13.002562,77.666396,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.49,0.51,0.469,0.116,0.223,0.703,0.402,0.459,0.495,0.238,0.084,0.469,0.502,0.453,0.529,3.46,0.54,0.153,0.416,0.256,0.534,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.991645,77.669602,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.32,0.4,0.384,0.117,0.344,0.385,0.459,0.494,0.453,0.276,0.149,0.413,0.414,0.527,0.485,5.52,0.554,0.073,0.423,0.245,0.52,2
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.989621,77.672603,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.26,0.6,0.42,0.119,0.418,0.279,0.409,0.463,0.348,0.291,0.174,0.436,0.475,0.542,0.434,2.31,0.473,0.061,0.366,0.284,0.424,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,13.002791,77.672679,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.38,0.41,0.443,0.099,0.472,0.86,0.465,0.544,0.375,0.194,0.114,0.43,0.474,0.492,0.52,3.99,0.58,0.297,0.39,0.211,0.594,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.989702,77.676675,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.54,0.47,0.416,0.106,0.203,0.766,0.358,0.524,0.354,0.262,0.052,0.491,0.524,0.425,0.453,8.13,0.546,0.112,0.354,0.274,0.53,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.990492,77.665075,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.38,0.57,0.433,0.096,0.321,0.575,0.354,0.53,0.382,0.252,0.172,0.454,0.455,0.515,0.45,2.92,0.505,0.23,0.319,0.254,0.489,2
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.998651,77.671182,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.22,0.6,0.399,0.111,0.165,0.802,0.439,0.489,0.318,0.323,0.193,0.342,0.406,0.586,0.465,5.47,0.491,0.29,0.431,0.314,0.53,2
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.999983,77.676687,Tin Factory,Tin Factory,Main Road,tertiary,tertiary,none,7.5m,30.0,0.25,0.21,0.512,0.129,0.011,0.3,0.473,0.565,0.393,0.362,0.151,0.538,0.504,0.475,0.5,1.28,0.537,0.075,0.509,0.389,0.431,5
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,13.003021,77.670359,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.34,0.65,0.391,0.12,0.116,0.584,0.425,0.497,0.358,0.281,0.149,0.355,0.578,0.447,0.469,1.65,0.524,0.172,0.299,0.295,0.519,6
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.999786,77.675988,Tin Factory,Tin Factory,Outer Ring Road,trunk,trunk,none,7.5m,60.0,0.42,0.61,0.441,0.097,0.468,0.825,0.628,0.678,0.28,0.395,0.188,0.752,0.664,0.372,0.409,7.53,0.696,0.209,0.668,0.392,0.498,4
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,12.9896,77.666032,Tin Factory,Tin Factory,,residential,residential,none,7.5m,30.0,0.23,0.5,0.438,0.117,0.185,0.355,0.385,0.533,0.422,0.31,0.058,0.427,0.382,0.48,0.439,3.23,0.58,0.224,0.336,0.339,0.419,2
