zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count
WEST BANGALORE,Bi-directional,12.998912,77.552031,Rajajinagar,Rajajinagar,12th Main Road,residential,residential,none,7.5m,30.0,0.1,0.29,0.525,0.262,0.314,0.491,0.437,0.567,0.396,0.258,0.172,0.335,0.502,0.362,0.443,4.25,0.406,0.222,0.319,0.251,0.488,6
WEST BANGALORE,Bi-directional,13.006772,77.5493,Rajajinagar,Rajajinagar,3rd Cross Road,residential,residential,none,7.5m,30.0,0.35,0.25,0.601,0.243,0.322,0.208,0.48,0.578,0.317,0.353,0.103,0.467,0.517,0.394,0.387,2.19,0.55,0.296,0.339,0.338,0.358,6
WEST BANGALORE,Bi-directional,12.99463,77.547339,Rajajinagar,Rajajinagar,,residential,residential,none,7.5m,30.0,0.21,0.44,0.553,0.289,0.382,0.379,0.439,0.617,0.458,0.424,0.19,0.328,0.539,0.355,0.458,3.03,0.448,0.114,0.334,0.475,0.427,8
WEST BANGALORE,Bi-directional,13.004091,77.553946,Rajajinagar,Rajajinagar,,residential,residential,none,7.5m,30.0,0.23,0.51,0.512,0.257,0.28,0.217,0.523,0.596,0.323,0.344,0.149,0.437,0.517,0.338,0.389,6.43,0.544,0.083,0.336,0.366,0.338,6
WEST BANGALORE,Bi-directional,12.997158,77.542884,Rajajinagar,Rajajinagar,8th Cross Road,residential,residential,none,7.5m,30.0,0.44,0.46,0.569,0.239,0.065,0.148,0.519,0.532,0.314,0.35,0.107,0.41,0.572,0.291,0.384,12.75,0.489,0.267,0.397,0.353,0.344,8
WEST BANGALORE,Bi-directional,13.00135,77.553158,Rajajinagar,Rajajinagar,2nd A Cross Road,residential,residential,none,7.5m,30.0,0.51,0.34,0.617,0.284,0.154,0.271,0.443,0.642,0.42,0.357,0.134,0.469,0.416,0.36,0.448,0.69,0.523,0.229,0.309,0.336,0.375,4
WEST BANGALORE,Bi-directional,13.000022,77.544501,Rajajinagar,Rajajinagar,,residential,residential,none,7.5m,30.0,0.48,0.37,0.555,0.271,0.427,0.259,0.528,0.624,0.468,0.308,0.177,0.389,0.543,0.32,0.406,2.91,0.586,0.061,0.353,0.295,0.437,6
WEST BANGALORE,Bi-directional,12.993475,77.556296,Rajajinagar,Rajajinagar,,residential,residential,none,7.5m,30.0,0.48,0.42,0.633,0.239,0.282,0.267,0.515,0.63,0.496,0.321,0.168,0.459,0.443,0.471,0.424,2.94,0.484,0.179,0.336,0.322,0.448,3
WEST BANGALORE,Bi-directional,13.000087,77.544348,Rajajinagar,Rajajinagar,,residential,residential,none,7.5m,30.0,0.17,0.65,0.626,0.265,0.08,0.607,0.487,0.499,0.322,0.303,0.135,0.423,0.469,0.403,0.432,0.58,0.543,0.142,0.301,0.306,0.489,6
WEST BANGALORE,Bi-directional,12.996105,77.548926,Rajajinagar,Rajajinagar,5th Main Road,residential,residential,none,7.5m,30.0,0.24,0.21,0.631,0.278,0.19,0.386,0.513,0.55,0.428,0.336,0.166,0.405,0.541,0.314,0.429,14.74,0.495,0.108,0.307,0.297,0.46,8
