zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count
CENTRAL BANGALORE,Bi-directional,12.985035,77.60195,Shivajinagar,Shivajinagar,,residential,residential,none,7.5m,30.0,0.39,0.6,0.657,0.413,0.26,0.769,0.541,0.684,0.415,0.501,0.064,0.459,0.484,0.338,0.429,4.25,0.571,0.293,0.298,0.556,0.442,6
CENTRAL BANGALORE,Bi-directional,12.985249,77.6018,Shivajinagar,Shivajinagar,Shivaji Road,tertiary,tertiary,none,7.5m,30.0,0.32,0.56,0.781,0.493,0.148,0.348,0.701,0.764,0.248,0.628,0.192,0.519,0.562,0.295,0.383,0.25,0.687,0.226,0.465,0.581,0.339,6
CENTRAL BANGALORE,Bi-directional,12.986562,77.602883,Shivajinagar,Shivajinagar,,residential,residential,none,7.5m,30.0,0.28,0.26,0.697,0.417,0.296,0.682,0.574,0.683,0.471,0.39,0.106,0.415,0.493,0.311,0.462,0.22,0.573,0.233,0.358,0.401,0.457,6
CENTRAL BANGALORE,Bi-directional,12.988376,77.610311,Shivajinagar,Shivajinagar,Mackan Road,tertiary,tertiary,none,7.5m,30.0,0.43,0.54,0.805,0.464,0.325,0.777,0.686,0.793,0.379,0.583,0.052,0.577,0.669,0.172,0.337,3.6,0.694,0.207,0.445,0.629,0.442,8
CENTRAL BANGALORE,Bi-directional,12.990449,77.606616,Shivajinagar,Shivajinagar,,living_street,living_street,none,7.5m,20.0,0.41,0.52,0.64,0.394,0.474,0.47,0.619,0.661,0.28,0.567,0.099,0.383,0.352,0.311,0.369,1.66,0.67,0.257,0.284,0.568,0.344,2
CENTRAL BANGALORE,Bi-directional,12.991637,77.608982,Shivajinagar,Shivajinagar,,living_street,living_street,none,7.5m,20.0,0.13,0.21,0.639,0.326,0.477,0.105,0.547,0.71,0.222,0.5,0.153,0.383,0.463,0.358,0.362,3.34,0.594,0.102,0.324,0.483,0.257,6
CENTRAL BANGALORE,Bi-directional,12.983188,77.603468,Shivajinagar,Shivajinagar,Central Street,tertiary,tertiary,none,7.5m,30.0,0.26,0.38,0.79,0.47,0.148,0.185,0.651,0.81,0.264,0.601,0.06,0.477,0.468,0.241,0.378,22.2,0.706,0.061,0.482,0.671,0.271,4
CENTRAL BANGALORE,Bi-directional,12.987532,77.609506,Shivajinagar,Shivajinagar,Narayan Pillai Street,tertiary,tertiary,none,7.5m,30.0,0.58,0.41,0.831,0.384,0.352,0.273,0.708,0.85,0.252,0.637,0.07,0.542,0.628,0.232,0.31,3.81,0.747,0.198,0.397,0.582,0.288,6
CENTRAL BANGALORE,Bi-directional,12.984134,77.60621,Shivajinagar,Shivajinagar,,living_street,living_street,none,7.5m,20.0,0.58,0.62,0.586,0.311,0.02,0.215,0.6,0.676,0.344,0.479,0.09,0.457,0.508,0.305,0.385,5.5,0.621,0.09,0.389,0.469,0.381,6
CENTRAL BANGALORE,Bi-directional,12.988047,77.60705,Shivajinagar,Shivajinagar,Jumma Masjid Road,tertiary,tertiary,none,7.5m,30.0,0.2,0.53,0.715,0.404,0.148,0.275,0.688,0.762,0.296,0.6,0.131,0.418,0.624,0.263,0.418,3.96,0.678,0.294,0.448,0.654,0.351,8
CENTRAL BANGALORE,Bi-directional,12.988765,77.605357,Shivajinagar,Shivajinagar,,living_street,living_street,none,7.5m,20.0,0.3,0.53,0.651,0.308,0.473,0.506,0.552,0.668,0.25,0.503,0.11,0.328,0.424,0.279,0.372,8.45,0.568,0.129,0.371,0.551,0.428,6
CENTRAL BANGALORE,Bi-directional,12.984788,77.611174,Shivajinagar,Shivajinagar,,residential,residential,none,7.5m,30.0,0.5,0.43,0.666,0.427,0.487,0.524,0.554,0.726,0.418,0.438,0.12,0.403,0.486,0.36,0.417,12.65,0.648,0.257,0.323,0.488,0.432,4
CENTRAL BANGALORE,Bi-directional,12.988788,77.603052,Shivajinagar,Shivajinagar,,living_street,living_street,none,7.5m,20.0,0.17,0.34,0.675,0.346,0.018,0.414,0.636,0.692,0.221,0.47,0.071,0.344,0.463,0.359,0.342,4.48,0.505,0.143,0.325,0.513,0.331,6
CENTRAL BANGALORE,Bi-directional,12.980878,77.611095,Shivajinagar,Shivajinagar,St. John's Road,secondary,secondary,none,7.5m,40.0,0.46,0.63,0.831,0.477,0.381,0.469,0.724,0.846,0.332,0.562,0.071,0.618,0.547,0.229,0.335,2.18,0.681,0.24,0.511,0.501,0.398,3
CENTRAL BANGALORE,Bi-directional,12.989237,77.605972,Shivajinagar,Shivajinagar,,living_street,living_street,none,7.5m,20.0,0.38,0.36,0.67,0.348,0.194,0.325,0.588,0.707,0.266,0.519,0.18,0.33,0.461,0.304,0.353,2.1,0.521,0.203,0.344,0.573,0.378,6
CENTRAL BANGALORE,Bi-directional,12.987686,77.601284,Shivajinagar,Shivajinagar,,residential,residential,none,7.5m,30.0,0.12,0.34,0.668,0.397,0.392,0.748,0.536,0.608,0.304,0.447,0.063,0.33,0.481,0.269,0.362,4.17,0.566,0.27,0.273,0.439,0.412,6
