edge_id,u,v,lat,lng,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count,zone,source_area,destination_area,road_name,road_type,highway_type,zone_type,static_component,graph_component
EDGE_0_42909,0,42909,12.978565,77.62053,,40.0,0.32,0.2962963,0.03206997,0.0,0.2815534,0.3615158,0.185621,0.3764484,0.49817035,0.07761473,0.45143136,0.5970304,0.30657408,0.72416925,0.58094364,0.1,0.35501465,0.23944016,0.46339774,0.05061082,0.7,1,MG Road,MG Road,MG Road,Unnamed Road,secondary,secondary_link,Residential Hub,0.19546028239981372,-1.2394585999770108e-06
EDGE_1_42910,1,42910,12.977402,77.62027,,50.0,0.2,0.25925925,0.072886296,0.041666668,0.27184466,0.32222116,0.13186589,0.39474636,0.41001514,0.09052571,0.46362996,0.65329176,0.35481483,0.6422271,0.55060947,0.40539962,0.31995946,0.23308046,0.44656813,0.07853403,0.70416665,2,MG Road,MG Road,MG Road,Bhaskaran Road,secondary,secondary,Residential Hub,0.14258118575349266,-1.2394585999770108e-06
EDGE_2_42911,2,42911,12.981372,77.61565,,40.0,0.0,0.0,0.011661808,0.0,0.14563107,0.60384625,0.0034985424,0.26739943,0.41960746,0.017813258,0.45952588,0.72411776,0.215,0.8148379,0.61610323,0.1,0.17983852,0.12634718,0.4253034,0.041884817,0.7,1,MG Road,MG Road,MG Road,Annaswamy Mudaliar Road,tertiary,tertiary,Residential Hub,0.2310598296031498,-1.2394585999770108e-06
EDGE_3_42912,3,42912,12.981914,77.61563,,40.0,0.0,0.074074075,0.011661808,0.0,0.16504854,0.60143936,0.0034985424,0.26739943,0.46056014,0.01886038,0.45717007,0.68220234,0.27351853,0.74318916,0.61764175,0.17233473,0.19835705,0.15422781,0.43645564,0.045375217,0.7,2,MG Road,MG Road,MG Road,Annaswamy Mudaliar Road,tertiary,tertiary,Residential Hub,0.23272634137813197,-1.2394585999770108e-06
EDGE_4_42913,4,42913,12.978034,77.618904,,30.0,0.32,0.2962963,0.029154519,0.041666668,0.26213592,0.40727448,0.18474635,0.25709856,0.43048579,0.08413437,0.40582788,0.55733573,0.23657407,0.8021768,0.58034056,0.1,0.35428578,0.14396629,0.42622858,0.06282722,0.70416665,1,MG Road,MG Road,MG Road,Unnamed Road,residential,residential,Residential Hub,0.2191448085527274,-1.2394585999770108e-06
EDGE_5_42914,5,42914,12.978569,77.6186,,50.0,0.32,0.2962963,0.023323616,0.0,0.26213592,0.43708786,0.18299708,0.41039884,0.43258625,0.072108194,0.41294932,0.6317056,0.32407406,0.691308,0.55394274,0.21017422,0.35282806,0.123193264,0.4199602,0.045375217,0.7,1,MG Road,MG Road,MG Road,Gangadhar Chetty Road,secondary,secondary,Residential Hub,0.14681813007376487,-1.2394585999770108e-06
EDGE_6_42915,6,42915,12.971201,77.60545,,40.0,0.32,0.2962963,0.8075802,0.75,0.30097088,0.24846521,0.5682741,0.60950965,0.4318481,0.69635874,0.39812982,0.67692703,0.38707408,0.6116955,0.48016572,0.33005902,0.52581525,0.19515632,0.20310177,0.69982547,0.775,1,MG Road,MG Road,MG Road,Residency Road,primary,primary,Commercial Hub,0.04803560779701198,-1.2394585999770108e-06
EDGE_7_42916,7,42916,12.971352,77.60462,,50.0,0.32,0.2962963,0.8279883,0.7083333,0.32038835,0.30158433,0.4243965,0.5069586,0.47090325,0.7013757,0.40796605,0.6202105,0.32407406,0.7063795,0.5121767,0.18669884,0.55399424,0.076153636,0.11951169,0.69982547,0.7708333,1,MG Road,MG Road,MG Road,Museum Road,secondary,secondary,Commercial Hub,0.11012324203236179,-1.2394585999770108e-06
EDGE_8_42917,8,42917,12.965891,77.604805,,40.0,0.52,0.4814815,0.1574344,0.083333336,0.36893204,0.46880746,0.48323032,0.66749215,0.49544474,0.2126762,0.46380302,0.583774,0.43337038,0.5421871,0.48997852,0.1,0.46957514,0.13066918,0.40485793,0.18499127,0.7083333,1,MG Road,MG Road,MG Road,Richmond Road,primary,primary,Residential Hub,0.05433214841418389,-1.2394585999770108e-06
EDGE_9_42918,9,42918,12.966344,77.60481,,30.0,0.56,0.5925926,0.16909622,0.083333336,0.36893204,0.44969955,0.35872886,0.31709155,0.44670162,0.22811249,0.43940935,0.43395248,0.35064813,0.5964662,0.51625276,0.28309652,0.53534526,0.17469002,0.3895385,0.19895288,0.7083333,2,MG Road,MG Road,MG Road,Albert Street,residential,residential,Residential Hub,0.16435961468109558,-1.2394585999770108e-06
