zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count
NORTH BANGALORE,Bi-directional,13.040464,77.59743,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.48,0.22,0.618,0.214,0.17,0.558,0.496,0.649,0.395,0.401,0.067,0.464,0.398,0.509,0.498,3.94,0.552,0.29,0.361,0.433,0.519,2
NORTH BANGALORE,Bi-directional,13.034888,77.593501,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.33,0.68,0.543,0.252,0.158,0.231,0.476,0.574,0.474,0.356,0.142,0.345,0.511,0.422,0.479,3.15,0.551,0.058,0.341,0.353,0.414,6
NORTH BANGALORE,Bi-directional,13.036651,77.590327,Hebbal,Hebbal,5th Main Road,residential,residential,none,7.5m,30.0,0.2,0.39,0.57,0.223,0.206,0.174,0.541,0.635,0.378,0.318,0.084,0.413,0.505,0.365,0.39,17.32,0.487,0.226,0.304,0.354,0.365,8
NORTH BANGALORE,Bi-directional,13.031943,77.595463,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.47,0.35,0.62,0.22,0.206,0.161,0.553,0.627,0.361,0.327,0.198,0.45,0.353,0.47,0.406,2.99,0.534,0.132,0.303,0.338,0.344,2
NORTH BANGALORE,Bi-directional,13.031354,77.597241,Hebbal,Hebbal,3rd Cross Road,residential,residential,none,7.5m,30.0,0.48,0.42,0.603,0.239,0.138,0.245,0.531,0.566,0.303,0.37,0.137,0.499,0.586,0.398,0.421,2.97,0.5,0.075,0.408,0.403,0.361,8
NORTH BANGALORE,Bi-directional,13.040089,77.592622,Hebbal,Hebbal,Vishwanatha Nagenhalli Main Road,tertiary,tertiary,none,7.5m,30.0,0.5,0.44,0.678,0.286,0.246,0.154,0.635,0.784,0.324,0.472,0.071,0.57,0.605,0.373,0.408,1.77,0.674,0.116,0.487,0.443,0.286,6
NORTH BANGALORE,Bi-directional,13.036472,77.591369,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.32,0.54,0.559,0.221,0.349,0.88,0.569,0.629,0.316,0.316,0.066,0.396,0.607,0.346,0.439,3.32,0.596,0.139,0.35,0.315,0.442,8
NORTH BANGALORE,Bi-directional,13.038907,77.590838,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.45,0.43,0.586,0.199,0.481,0.691,0.504,0.659,0.456,0.373,0.086,0.456,0.496,0.45,0.409,8.77,0.532,0.085,0.338,0.331,0.486,6
NORTH BANGALORE,Bi-directional,13.041567,77.593408,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.53,0.33,0.58,0.197,0.15,0.836,0.528,0.591,0.316,0.372,0.104,0.47,0.446,0.436,0.452,7.75,0.567,0.112,0.392,0.328,0.503,5
NORTH BANGALORE,Bi-directional,13.03445,77.596568,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.14,0.31,0.643,0.213,0.464,0.805,0.522,0.577,0.475,0.316,0.133,0.357,0.499,0.443,0.445,4.32,0.462,0.17,0.347,0.332,0.528,6
NORTH BANGALORE,Bi-directional,13.034187,77.594164,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.42,0.38,0.623,0.241,0.099,0.679,0.47,0.586,0.418,0.374,0.189,0.431,0.442,0.422,0.485,9.26,0.491,0.143,0.399,0.34,0.459,2
