zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count
SOUTH BANGALORE,Bi-directional,12.905314,77.593091,JP Nagar,JP Nagar,,residential,residential,none,7.5m,30.0,0.6,0.27,0.623,0.284,0.281,0.417,0.544,0.652,0.397,0.405,0.163,0.497,0.555,0.31,0.423,0.42,0.527,0.058,0.27,0.411,0.41,6
SOUTH BANGALORE,Bi-directional,12.913157,77.591512,JP Nagar,JP Nagar,17th Main Road,tertiary,tertiary,none,7.5m,30.0,0.42,0.57,0.633,0.377,0.216,0.448,0.547,0.689,0.207,0.441,0.078,0.577,0.629,0.253,0.325,3.21,0.624,0.289,0.475,0.389,0.349,6
SOUTH BANGALORE,Bi-directional,12.915451,77.590399,JP Nagar,JP Nagar,18th Main,residential,residential,none,7.5m,30.0,0.24,0.2,0.572,0.269,0.013,0.134,0.498,0.63,0.352,0.342,0.06,0.389,0.436,0.325,0.354,3.13,0.474,0.13,0.366,0.302,0.312,6
SOUTH BANGALORE,Bi-directional,12.915801,77.579306,JP Nagar,JP Nagar,Ayodhyarama Road,tertiary,tertiary,none,7.5m,30.0,0.16,0.45,0.698,0.306,0.118,0.851,0.623,0.702,0.288,0.441,0.153,0.439,0.514,0.391,0.402,2.8,0.649,0.072,0.5,0.47,0.446,4
SOUTH BANGALORE,Bi-directional,12.903163,77.581701,JP Nagar,JP Nagar,,tertiary,tertiary,none,7.5m,30.0,0.34,0.56,0.711,0.31,0.144,0.277,0.526,0.649,0.362,0.49,0.181,0.538,0.604,0.306,0.379,1.65,0.577,0.263,0.421,0.45,0.377,6
SOUTH BANGALORE,Bi-directional,12.912392,77.591689,JP Nagar,JP Nagar,5th Cross Road,residential,residential,none,7.5m,30.0,0.43,0.28,0.605,0.278,0.21,0.841,0.538,0.656,0.412,0.394,0.065,0.403,0.457,0.411,0.474,4.09,0.536,0.243,0.331,0.403,0.556,6
SOUTH BANGALORE,Bi-directional,12.908887,77.588413,JP Nagar,JP Nagar,20th Main Road,residential,residential,none,7.5m,30.0,0.16,0.3,0.534,0.331,0.327,0.835,0.549,0.613,0.491,0.324,0.151,0.383,0.439,0.435,0.48,4.55,0.446,0.076,0.366,0.338,0.596,6
SOUTH BANGALORE,Bi-directional,12.907556,77.584381,JP Nagar,JP Nagar,27th Main Road,residential,residential,none,7.5m,30.0,0.34,0.62,0.528,0.269,0.047,0.138,0.551,0.633,0.302,0.324,0.128,0.456,0.572,0.417,0.435,10.2,0.615,0.227,0.304,0.307,0.317,6
SOUTH BANGALORE,Bi-directional,12.904385,77.58529,JP Nagar,JP Nagar,25th Main Road,residential,residential,none,7.5m,30.0,0.31,0.59,0.557,0.258,0.376,0.205,0.444,0.552,0.336,0.374,0.07,0.399,0.409,0.42,0.429,22.18,0.589,0.103,0.308,0.38,0.392,2
SOUTH BANGALORE,Bi-directional,12.915117,77.590437,JP Nagar,JP Nagar,18th Main,residential,residential,none,7.5m,30.0,0.34,0.3,0.528,0.332,0.476,0.192,0.488,0.575,0.394,0.395,0.1,0.419,0.457,0.423,0.428,3.61,0.477,0.165,0.384,0.37,0.423,6
