hour,mean_risk,p25_risk,p75_risk,max_risk,min_risk
0,74.930595,70.288345,79.51691,89.874794,48.685734
1,75.17232,70.45824,79.77385,90.15874,48.156563
2,75.16567,70.45213,79.74865,90.26709,47.926727
3,74.51638,69.91506,79.01024,89.87895,48.089725
4,73.19195,68.918106,77.45748,88.79972,48.667202
5,71.65861,67.82015,75.7081,87.008865,49.16527
6,70.542244,66.77227,74.731255,84.846054,49.19221
7,69.91398,66.45976,73.888115,82.99464,47.850082
8,69.36525,66.44454,72.90101,81.98673,46.314335
9,68.78834,66.04286,72.05858,81.82349,46.122204
10,68.47855,65.702995,71.574005,82.12581,46.657646
11,68.523384,65.735504,71.518005,82.486534,47.461864
12,68.65898,65.8988,71.60971,82.68056,48.033127
13,68.73838,65.99978,71.67847,82.718895,48.25726
14,69.00795,66.28153,71.9458,82.78681,48.694138
15,69.80231,67.11707,72.75935,83.09883,49.97286
16,71.101265,68.423645,74.10772,83.78498,51.236748
17,72.49946,69.80472,75.58032,84.84665,51.3663
18,73.60699,70.88724,76.74411,86.142075,51.4125
19,74.345024,71.51661,77.6038,87.43093,51.360733
20,74.78472,71.60699,78.31397,88.480835,51.178143
21,74.949646,71.311775,78.821396,89.16823,50.803913
22,74.90163,70.81848,79.103386,89.51488,50.19553
23,74.82656,70.35198,79.254326,89.67646,49.423985
