edge_id,geometry_polyline,geometry_length,bearing,road_curvature
EDGE_0_42909,"[[12.978565, 77.62053], [12.981065, 77.62303], [12.983565, 77.62553]]",0.7763,44.26,0.0
EDGE_1_42910,"[[12.977402, 77.62027], [12.979902, 77.62277], [12.982402, 77.62527]]",0.7763,44.26,0.0
EDGE_2_42911,"[[12.981372, 77.61565], [12.983872, 77.61815], [12.986372, 77.62065]]",0.7763,44.26,0.0
EDGE_3_42912,"[[12.981914, 77.61563], [12.984414, 77.61813], [12.986914, 77.62063]]",0.7763,44.26,0.0
EDGE_4_42913,"[[12.978034, 77.618904], [12.980534, 77.621404], [12.983034, 77.623904]]",0.7763,44.26,0.0
EDGE_5_42914,"[[12.978569, 77.6186], [12.981069, 77.6211], [12.983569, 77.6236]]",0.7763,44.26,0.0
EDGE_6_42915,"[[12.971201, 77.60545], [12.973701, 77.60795], [12.976201, 77.61045]]",0.7763,44.26,0.0
EDGE_7_42916,"[[12.971352, 77.60462], [12.973852, 77.60712], [12.976352, 77.60962]]",0.7763,44.26,0.0
EDGE_8_42917,"[[12.965891, 77.604805], [12.968391, 77.607305], [12.970891, 77.609805]]",0.7763,44.26,0.0
EDGE_9_42918,"[[12.966344, 77.60481], [12.968844, 77.60731], [12.971344, 77.60981]]",0.7763,44.26,0.0
EDGE_10_42919,"[[12.962292, 77.59583], [12.964792, 77.59833], [12.967292, 77.60083]]",0.7763,44.26,0.0
EDGE_11_42920,"[[12.973958, 77.60942], [12.976458, 77.61192], [12.978958, 77.61442]]",0.7763,44.26,0.0
EDGE_12_42921,"[[12.972735, 77.60955], [12.975235, 77.61205], [12.977735, 77.61455]]",0.7763,44.26,0.0
EDGE_13_42922,"[[12.973339, 77.60986], [12.975839, 77.61236], [12.978339, 77.61486]]",0.7763,44.26,0.0
EDGE_14_42923,"[[12.967307, 77.59495], [12.969807, 77.59745], [12.972307, 77.59995]]",0.7763,44.26,0.0
EDGE_42924_42925,"[[12.967155, 77.5948], [12.969655, 77.5973], [12.972155, 77.5998]]",0.7763,44.26,0.0
EDGE_16_42926,"[[12.972179, 77.59405], [12.974679, 77.59655], [12.977179, 77.59905]]",0.7763,44.26,0.0
EDGE_17_42927,"[[12.972328, 77.594124], [12.974828, 77.596624], [12.977328, 77.599124]]",0.7763,44.26,0.0
EDGE_18_42928,"[[12.976659, 77.59934], [12.979159, 77.60184], [12.981659, 77.60434]]",0.7763,44.26,0.0
EDGE_19_42929,"[[12.976694, 77.599815], [12.979194, 77.602315], [12.981694, 77.604815]]",0.7763,44.26,0.0
EDGE_20_42930,"[[12.96366, 77.60109], [12.96616, 77.60359], [12.96866, 77.60609]]",0.7763,44.26,0.0
EDGE_21_42931,"[[12.964125, 77.601], [12.966625, 77.6035], [12.969125, 77.606]]",0.7763,44.26,0.0
EDGE_22_42932,"[[12.965285, 77.600266], [12.967785, 77.602766], [12.970285, 77.605266]]",0.7763,44.26,0.0
EDGE_23_42933,"[[12.963882, 77.606285], [12.966382, 77.608785], [12.968882, 77.611285]]",0.7763,44.26,0.0
EDGE_24_42934,"[[12.963405, 77.60584], [12.965905, 77.60834], [12.968405, 77.61084]]",0.7763,44.26,0.0
EDGE_42935_42936,"[[12.964215, 77.60587], [12.966715, 77.60837], [12.969215, 77.61087]]",0.7763,44.26,0.0
EDGE_26_42937,"[[12.962967, 77.60547], [12.965467, 77.60797], [12.967967, 77.61047]]",0.7763,44.26,0.0
EDGE_27_42938,"[[12.962249, 77.59449], [12.964749, 77.59699], [12.967249, 77.59949]]",0.7763,44.26,0.0
EDGE_28_42939,"[[12.96213, 77.59417], [12.96463, 77.59667], [12.96713, 77.59917]]",0.7763,44.26,0.0
EDGE_29_42940,"[[12.965052, 77.59889], [12.967552, 77.60139], [12.970052, 77.60389]]",0.7763,44.26,0.0
EDGE_30_42941,"[[12.965093, 77.598335], [12.967593, 77.600835], [12.970093, 77.603335]]",0.7763,44.26,0.0
EDGE_31_42942,"[[12.962273, 77.59407], [12.964773, 77.59657], [12.967273, 77.59907]]",0.7763,44.26,0.0
EDGE_32_42943,"[[12.965229, 77.596886], [12.967729, 77.599386], [12.970229, 77.601886]]",0.7763,44.26,0.0
EDGE_33_42944,"[[12.966719, 77.596504], [12.969219, 77.599004], [12.971719, 77.601504]]",0.7763,44.26,0.0
EDGE_34_42945,"[[12.965542, 77.60143], [12.968042, 77.60393], [12.970542, 77.60643]]",0.7763,44.26,0.0
EDGE_42946_42947,"[[12.965815, 77.6015], [12.968315, 77.604], [12.970815, 77.6065]]",0.7763,44.26,0.0
EDGE_36_42948,"[[12.968775, 77.602715], [12.971275, 77.605215], [12.973775, 77.607715]]",0.7763,44.26,0.0
EDGE_37_42949,"[[12.970254, 77.603546], [12.972754, 77.606046], [12.975254, 77.608546]]",0.7763,44.26,0.0
EDGE_38_42950,"[[12.963142, 77.60122], [12.965642, 77.60372], [12.968142, 77.60622]]",0.7763,44.26,0.0
EDGE_39_42951,"[[12.962961, 77.60437], [12.965478, 77.6068725], [12.967995, 77.609375]]",0.7794,44.09,0.0
EDGE_40_42952,"[[12.962646, 77.604996], [12.965146, 77.607496], [12.967646, 77.609996]]",0.7763,44.26,0.0
EDGE_41_42953,"[[12.963722, 77.60234], [12.966222, 77.60484], [12.968722, 77.60734]]",0.7763,44.26,0.0
EDGE_42_42954,"[[12.964764, 77.60314], [12.967264, 77.60564], [12.969764, 77.60814]]",0.7763,44.26,0.0
EDGE_43_42955,"[[12.972, 77.6072], [12.9745, 77.6097], [12.977, 77.6122]]",0.7763,44.26,0.0
EDGE_44_42956,"[[12.97169, 77.60708], [12.97419, 77.60958], [12.97669, 77.61208]]",0.7763,44.26,0.0
EDGE_45_42957,"[[12.969856, 77.60656], [12.972356, 77.60906], [12.974856, 77.61156]]",0.7763,44.26,0.0
EDGE_46_42958,"[[12.969847, 77.60698], [12.972347, 77.60948], [12.974847, 77.61198]]",0.7763,44.26,0.0
EDGE_47_42959,"[[12.97475, 77.60594], [12.97725, 77.60844], [12.97975, 77.61094]]",0.7763,44.26,0.0
EDGE_48_42960,"[[12.973963, 77.60763], [12.976463, 77.61013], [12.978963, 77.61263]]",0.7763,44.26,0.0
EDGE_49_42961,"[[12.976254, 77.60114], [12.978754, 77.60364], [12.981254, 77.60614]]",0.7763,44.26,0.0
EDGE_50_42962,"[[12.97616, 77.60173], [12.97866, 77.60423], [12.98116, 77.60673]]",0.7763,44.26,0.0
EDGE_51_42963,"[[12.975686, 77.60211], [12.978186, 77.60461], [12.980686, 77.60711]]",0.7763,44.26,0.0
EDGE_52_42964,"[[12.975541, 77.600746], [12.978041, 77.603246], [12.980541, 77.605746]]",0.7763,44.26,0.0
EDGE_53_42965,"[[12.975638, 77.60165], [12.978138, 77.60415], [12.980638, 77.60665]]",0.7763,44.26,0.0
EDGE_54_42966,"[[12.973081, 77.60138], [12.975581, 77.60388], [12.978081, 77.60638]]",0.7763,44.26,0.0
EDGE_42967_42968,"[[12.972903, 77.601395], [12.975403, 77.603895], [12.977903, 77.606395]]",0.7763,44.26,0.0
EDGE_56_42969,"[[12.972923, 77.602394], [12.975423, 77.604894], [12.977923, 77.607394]]",0.7763,44.26,0.0
EDGE_57_42970,"[[12.974151, 77.60305], [12.976651, 77.60555], [12.979151, 77.60805]]",0.7763,44.26,0.0
EDGE_58_42971,"[[12.974236, 77.60404], [12.976736, 77.60654], [12.979236, 77.60904]]",0.7763,44.26,0.0
EDGE_42972_42973,"[[12.975485, 77.602585], [12.977985, 77.605085], [12.980485, 77.607585]]",0.7763,44.26,0.0
EDGE_60_42974,"[[12.975981, 77.60254], [12.978481, 77.60504], [12.980981, 77.60754]]",0.7763,44.26,0.0
EDGE_61_42975,"[[12.972527, 77.601204], [12.975027, 77.603704], [12.977527, 77.606204]]",0.7763,44.26,0.0
EDGE_62_42976,"[[12.969159, 77.600464], [12.971659, 77.602964], [12.974159, 77.605464]]",0.7763,44.26,0.0
EDGE_63_42977,"[[12.970543, 77.60002], [12.973043, 77.60252], [12.975543, 77.60502]]",0.7763,44.26,0.0
EDGE_64_42978,"[[12.975052, 77.599754], [12.977552, 77.602254], [12.980052, 77.604754]]",0.7763,44.26,0.0
EDGE_65_42979,"[[12.972982, 77.60122], [12.975482, 77.60372], [12.977982, 77.60622]]",0.7763,44.26,0.0
EDGE_66_42980,"[[12.97318, 77.6012], [12.97568, 77.6037], [12.97818, 77.6062]]",0.7763,44.26,0.0
EDGE_67_42981,"[[12.971222, 77.59775], [12.973722, 77.60025], [12.976222, 77.60275]]",0.7763,44.26,0.0
EDGE_68_42982,"[[12.97134, 77.595955], [12.97384, 77.598455], [12.97634, 77.600955]]",0.7763,44.26,0.0
EDGE_69_42983,"[[12.971873, 77.59363], [12.974373, 77.59613], [12.976873, 77.59863]]",0.7763,44.26,0.0
EDGE_70_42984,"[[12.971857, 77.59378], [12.974357, 77.59628], [12.976857, 77.59878]]",0.7763,44.26,0.0
EDGE_71_42985,"[[12.969538, 77.594475], [12.972038, 77.596975], [12.974538, 77.599475]]",0.7763,44.26,0.0
EDGE_72_42986,"[[12.9717, 77.606575], [12.9742, 77.609075], [12.9767, 77.611575]]",0.7763,44.26,0.0
EDGE_73_42987,"[[12.971489, 77.60659], [12.973989, 77.60909], [12.976489, 77.61159]]",0.7763,44.26,0.0
EDGE_74_42988,"[[12.969605, 77.61046], [12.972105, 77.61296], [12.974605, 77.61546]]",0.7763,44.26,0.0
EDGE_75_42989,"[[12.970343, 77.6104], [12.972843, 77.6129], [12.975343, 77.6154]]",0.7763,44.26,0.0
EDGE_76_42990,"[[12.97045, 77.61], [12.97295, 77.6125], [12.97545, 77.615]]",0.7763,44.26,0.0
EDGE_77_42991,"[[12.964473, 77.601295], [12.966973, 77.603795], [12.969473, 77.606295]]",0.7763,44.26,0.0
EDGE_78_42992,"[[12.963192, 77.59791], [12.965692, 77.60041], [12.968192, 77.60291]]",0.7763,44.26,0.0
EDGE_79_42993,"[[12.962704, 77.5985], [12.965204, 77.601], [12.967704, 77.6035]]",0.7763,44.26,0.0
EDGE_80_42994,"[[12.963021, 77.59998], [12.965521, 77.60248], [12.968021, 77.60498]]",0.7763,44.26,0.0
EDGE_81_42995,"[[12.964098, 77.606705], [12.966598, 77.609205], [12.969098, 77.611705]]",0.7763,44.26,0.0
EDGE_82_42996,"[[12.964942, 77.6037], [12.967442, 77.6062], [12.969942, 77.6087]]",0.7763,44.26,0.0
EDGE_83_42997,"[[12.9642, 77.604576], [12.9667, 77.607076], [12.9692, 77.609576]]",0.7763,44.26,0.0
EDGE_42998_42999,"[[12.9651375, 77.603165], [12.9676375, 77.605665], [12.9701375, 77.608165]]",0.7763,44.26,0.0
EDGE_85_43000,"[[12.984123, 77.59745], [12.986613, 77.5999525], [12.989103, 77.602455]]",0.7751,44.4,0.0
EDGE_86_43001,"[[12.98391, 77.59737], [12.98641, 77.59987], [12.98891, 77.60237]]",0.7763,44.26,0.0
EDGE_87_43002,"[[12.983184, 77.59854], [12.985684, 77.60104], [12.988184, 77.60354]]",0.7763,44.26,0.0
EDGE_88_43003,"[[12.9854965, 77.60517], [12.9879965, 77.60767], [12.9904965, 77.61017]]",0.7763,44.26,0.0
EDGE_89_43004,"[[12.985511, 77.6055], [12.988011, 77.608], [12.990511, 77.6105]]",0.7763,44.26,0.0
EDGE_90_43005,"[[12.985603, 77.605354], [12.988103, 77.607854], [12.990603, 77.610354]]",0.7763,44.26,0.0
EDGE_91_43006,"[[12.984597, 77.61396], [12.987097, 77.61646], [12.989597, 77.61896]]",0.7763,44.26,0.0
EDGE_92_43007,"[[12.984337, 77.61428], [12.986837, 77.61678], [12.989337, 77.61928]]",0.7763,44.26,0.0
EDGE_93_43008,"[[12.98454, 77.614426], [12.98704, 77.616926], [12.98954, 77.619426]]",0.7763,44.26,0.0
EDGE_94_43009,"[[12.973598, 77.59362], [12.976098, 77.59612], [12.978598, 77.59862]]",0.7763,44.26,0.0
EDGE_95_43010,"[[12.978557, 77.597694], [12.981057, 77.600194], [12.983557, 77.602694]]",0.7763,44.26,0.0
EDGE_96_43011,"[[12.976844, 77.5964], [12.979344, 77.5989], [12.981844, 77.6014]]",0.7763,44.26,0.0
EDGE_43012_43013,"[[12.965375, 77.61787], [12.967875, 77.62037], [12.970375, 77.62287]]",0.7763,44.26,0.0
EDGE_98_43014,"[[12.965453, 77.61831], [12.967953, 77.62081], [12.970453, 77.62331]]",0.7763,44.26,0.0
EDGE_99_43015,"[[12.9667845, 77.6204], [12.9692845, 77.6229], [12.9717845, 77.6254]]",0.7763,44.26,0.0
EDGE_100_43016,"[[12.9667015, 77.62043], [12.9692015, 77.62293], [12.9717015, 77.62543]]",0.7763,44.26,0.0
EDGE_101_43017,"[[12.962483, 77.618935], [12.964983, 77.621435], [12.967483, 77.623935]]",0.7763,44.26,0.0
EDGE_102_43018,"[[12.962304, 77.618355], [12.964804, 77.620855], [12.967304, 77.623355]]",0.7763,44.26,0.0
EDGE_103_43019,"[[12.963882, 77.618256], [12.966382, 77.620756], [12.968882, 77.623256]]",0.7763,44.26,0.0
EDGE_43020_43021,"[[12.980575, 77.603386], [12.983075, 77.605886], [12.985575, 77.608386]]",0.7763,44.26,0.0
EDGE_105_43022,"[[12.981456, 77.60315], [12.983956, 77.60565], [12.986456, 77.60815]]",0.7763,44.26,0.0
EDGE_106_43023,"[[12.979706, 77.60363], [12.982206, 77.60613], [12.984706, 77.60863]]",0.7763,44.26,0.0
EDGE_107_43024,"[[12.978751, 77.604195], [12.981251, 77.606695], [12.983751, 77.609195]]",0.7763,44.26,0.0
EDGE_108_43025,"[[12.966993, 77.60931], [12.969493, 77.61181], [12.971993, 77.61431]]",0.7763,44.26,0.0
EDGE_109_43026,"[[12.966744, 77.60919], [12.969244, 77.61169], [12.971744, 77.61419]]",0.7763,44.26,0.0
EDGE_110_43027,"[[12.981881, 77.59471], [12.984381, 77.59721], [12.986881, 77.59971]]",0.7763,44.26,0.0
EDGE_111_43028,"[[12.981385, 77.59432], [12.983885, 77.59682], [12.986385, 77.59932]]",0.7763,44.26,0.0
EDGE_112_43029,"[[12.985331, 77.594406], [12.987831, 77.596906], [12.990331, 77.599406]]",0.7763,44.26,0.0
EDGE_113_43030,"[[12.981073, 77.60696], [12.983573, 77.60946], [12.986073, 77.61196]]",0.7763,44.26,0.0
EDGE_114_43031,"[[12.981192, 77.60783], [12.983692, 77.61033], [12.986192, 77.61283]]",0.7763,44.26,0.0
EDGE_115_43032,"[[12.978692, 77.60694], [12.981192, 77.60944], [12.983692, 77.61194]]",0.7763,44.26,0.0
EDGE_116_43033,"[[12.982003, 77.603935], [12.9844855, 77.6064525], [12.986968, 77.60897]]",0.7762,44.66,0.0
EDGE_117_43034,"[[12.984126, 77.604385], [12.986626, 77.606885], [12.989126, 77.609385]]",0.7763,44.26,0.0
EDGE_118_43035,"[[12.983195, 77.60337], [12.985695, 77.60587], [12.988195, 77.60837]]",0.7763,44.26,0.0
EDGE_119_43036,"[[12.984543, 77.60507], [12.987043, 77.60757], [12.989543, 77.61007]]",0.7763,44.26,0.0
EDGE_120_43037,"[[12.979745, 77.61348], [12.982245, 77.61598], [12.984745, 77.61848]]",0.7763,44.26,0.0
EDGE_121_43038,"[[12.980208, 77.6143], [12.982708, 77.6168], [12.985208, 77.6193]]",0.7763,44.26,0.0
EDGE_122_43039,"[[12.981451, 77.613235], [12.983951, 77.615735], [12.986451, 77.618235]]",0.7763,44.26,0.0
EDGE_123_43040,"[[12.982532, 77.61256], [12.985032, 77.61506], [12.987532, 77.61756]]",0.7763,44.26,0.0
EDGE_124_43041,"[[12.981958, 77.612686], [12.984458, 77.615186], [12.986958, 77.617686]]",0.7763,44.26,0.0
EDGE_125_43042,"[[12.982453, 77.61565], [12.984953, 77.61815], [12.987453, 77.62065]]",0.7763,44.26,0.0
EDGE_126_43043,"[[12.982722, 77.61587], [12.985222, 77.61837], [12.987722, 77.62087]]",0.7763,44.26,0.0
EDGE_127_43044,"[[12.98304, 77.61625], [12.98554, 77.61875], [12.98804, 77.62125]]",0.7763,44.26,0.0
EDGE_128_43045,"[[12.984466, 77.60072], [12.986966, 77.60322], [12.989466, 77.60572]]",0.7763,44.26,0.0
EDGE_129_43046,"[[12.984621, 77.60162], [12.987121, 77.60412], [12.989621, 77.60662]]",0.7763,44.26,0.0
EDGE_130_43047,"[[12.983117, 77.60326], [12.985617, 77.60576], [12.988117, 77.60826]]",0.7763,44.26,0.0
EDGE_131_43048,"[[12.982153, 77.60345], [12.984653, 77.60595], [12.987153, 77.60845]]",0.7763,44.26,0.0
EDGE_132_43049,"[[12.982283, 77.60303], [12.984783, 77.60553], [12.987283, 77.60803]]",0.7763,44.26,0.0
EDGE_133_43050,"[[12.983378, 77.59957], [12.985878, 77.60207], [12.988378, 77.60457]]",0.7763,44.26,0.0
EDGE_134_43051,"[[12.982463, 77.6001], [12.984963, 77.6026], [12.987463, 77.6051]]",0.7763,44.26,0.0
EDGE_135_43052,"[[12.983559, 77.60047], [12.986059, 77.60297], [12.988559, 77.60547]]",0.7763,44.26,0.0
EDGE_136_43053,"[[12.9885025, 77.60618], [12.9910025, 77.60868], [12.9935025, 77.61118]]",0.7763,44.26,0.0
EDGE_137_43054,"[[12.98785, 77.60634], [12.99035, 77.60884], [12.99285, 77.61134]]",0.7763,44.26,0.0
EDGE_138_43055,"[[12.988022, 77.60614], [12.990522, 77.60864], [12.993022, 77.61114]]",0.7763,44.26,0.0
EDGE_139_43056,"[[12.98556, 77.60567], [12.98806, 77.60817], [12.99056, 77.61067]]",0.7763,44.26,0.0
EDGE_43057_43058,"[[12.985591, 77.605515], [12.988091, 77.608015], [12.990591, 77.610515]]",0.7763,44.26,0.0
EDGE_43059_43060,"[[12.985335, 77.60702], [12.987835, 77.60952], [12.990335, 77.61202]]",0.7763,44.26,0.0
EDGE_142_43061,"[[12.985423, 77.60669], [12.987923, 77.60919], [12.990423, 77.61169]]",0.7763,44.26,0.0
EDGE_143_43062,"[[12.985413, 77.607346], [12.987913, 77.609846], [12.990413, 77.612346]]",0.7763,44.26,0.0
EDGE_144_43063,"[[12.985163, 77.60714], [12.987663, 77.60964], [12.990163, 77.61214]]",0.7763,44.26,0.0
EDGE_145_43064,"[[12.984408, 77.60832], [12.986908, 77.61082], [12.989408, 77.61332]]",0.7763,44.26,0.0
EDGE_146_43065,"[[12.98522, 77.60861], [12.98772, 77.61111], [12.99022, 77.61361]]",0.7763,44.26,0.0
EDGE_147_43066,"[[12.984478, 77.60888], [12.986978, 77.61138], [12.989478, 77.61388]]",0.7763,44.26,0.0
EDGE_148_43067,"[[12.98431, 77.60972], [12.98681, 77.61222], [12.98931, 77.61472]]",0.7763,44.26,0.0
EDGE_149_43068,"[[12.984729, 77.61037], [12.987229, 77.61287], [12.989729, 77.61537]]",0.7763,44.26,0.0
EDGE_150_43069,"[[12.984935, 77.6103], [12.987435, 77.6128], [12.989935, 77.6153]]",0.7763,44.26,0.0
EDGE_151_43070,"[[12.984817, 77.61043], [12.987317, 77.61293], [12.989817, 77.61543]]",0.7763,44.26,0.0
EDGE_152_43071,"[[12.984888, 77.61052], [12.987388, 77.61302], [12.989888, 77.61552]]",0.7763,44.26,0.0
EDGE_153_43072,"[[12.985407, 77.61025], [12.987907, 77.61275], [12.990407, 77.61525]]",0.7763,44.26,0.0
EDGE_154_43073,"[[12.984551, 77.611084], [12.987051, 77.613584], [12.989551, 77.616084]]",0.7763,44.26,0.0
