edge_id,source_node,destination_node,lat,lng,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count,zone,source_area,destination_area,road_name,road_type,highway_type,zone_type,static_component,graph_component,static_distance_km,static_travel_time_min
EDGE_15629_15630,15629,15630,12.985035,77.60195,,30.0,0.39,0.6,0.657,0.413,0.26,0.769,0.541,0.684,0.415,0.501,0.064,0.459,0.484,0.338,0.429,4.25,0.571,0.293,0.298,0.556,0.442,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.2876825219975332,-3.4008602310411685e-06,0.7762752587285616,1.5525505174571232
EDGE_1_15631,1,15631,12.985249,77.6018,,30.0,0.32,0.56,0.781,0.493,0.148,0.348,0.701,0.764,0.248,0.628,0.192,0.519,0.562,0.295,0.383,0.25,0.687,0.226,0.465,0.581,0.339,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Shivaji Road,tertiary,tertiary,Nightlife Hub,0.1705139931758493,-3.4008602310411685e-06,0.7762749330320662,1.5525498660641324
EDGE_2_15632,2,15632,12.986562,77.602883,,30.0,0.28,0.26,0.697,0.417,0.296,0.682,0.574,0.683,0.471,0.39,0.106,0.415,0.493,0.311,0.462,0.22,0.573,0.233,0.358,0.401,0.457,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.29388342048181315,-3.4008602310411685e-06,0.7762729346043482,1.5525458692086964
EDGE_3_15633,3,15633,12.988376,77.610311,,30.0,0.43,0.54,0.805,0.464,0.325,0.777,0.686,0.793,0.379,0.583,0.052,0.577,0.669,0.172,0.337,3.6,0.694,0.207,0.445,0.629,0.442,8,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Mackan Road,tertiary,tertiary,Commercial Hub,0.13191768034854848,-3.4008602310411685e-06,0.7762701733209859,1.5525403466419718
EDGE_4_15634,4,15634,12.990449,77.606616,,20.0,0.41,0.52,0.64,0.394,0.474,0.47,0.619,0.661,0.28,0.567,0.099,0.383,0.352,0.311,0.369,1.66,0.67,0.257,0.284,0.568,0.344,2,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.19927098627806006,-3.4008602310411685e-06,0.7762670173347009,1.5525340346694019
EDGE_5_15635,5,15635,12.991637,77.608982,,20.0,0.13,0.21,0.639,0.326,0.477,0.105,0.547,0.71,0.222,0.5,0.153,0.383,0.463,0.358,0.362,3.34,0.594,0.102,0.324,0.483,0.257,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.09495033381102369,-3.4008602310411685e-06,0.7762652084772353,1.5525304169544707
EDGE_6_15636,6,15636,12.983188,77.603468,,30.0,0.26,0.38,0.79,0.47,0.148,0.185,0.651,0.81,0.264,0.601,0.06,0.477,0.468,0.241,0.378,22.2,0.706,0.061,0.482,0.671,0.271,4,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Central Street,tertiary,tertiary,Commercial Hub,0.07104625681963048,-3.4008602310411685e-06,0.7762780695500402,1.5525561391000804
EDGE_7_15637,7,15637,12.987532,77.609506,,30.0,0.58,0.41,0.831,0.384,0.352,0.273,0.708,0.85,0.252,0.637,0.07,0.542,0.628,0.232,0.31,3.81,0.747,0.198,0.397,0.582,0.288,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Narayan Pillai Street,tertiary,tertiary,Commercial Hub,0.018483210744544003,-3.4008602310411685e-06,0.7762714581094871,1.5525429162189741
EDGE_8_15638,8,15638,12.984134,77.60621,,20.0,0.58,0.62,0.586,0.311,0.02,0.215,0.6,0.676,0.344,0.479,0.09,0.457,0.508,0.305,0.385,5.5,0.621,0.09,0.389,0.469,0.381,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.13579292815058058,-3.4008602310411685e-06,0.7762766299458517,1.5525532598917033
EDGE_9_15639,9,15639,12.988047,77.60705,,30.0,0.2,0.53,0.715,0.404,0.148,0.275,0.688,0.762,0.296,0.6,0.131,0.418,0.624,0.263,0.418,3.96,0.678,0.294,0.448,0.654,0.351,8,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Jumma Masjid Road,tertiary,tertiary,Commercial Hub,0.20128736296595887,-3.4008602310411685e-06,0.7762706741544299,1.5525413483088597
EDGE_15640_15641,15640,15641,12.988765,77.605357,,20.0,0.3,0.53,0.651,0.308,0.473,0.506,0.552,0.668,0.25,0.503,0.11,0.328,0.424,0.279,0.372,8.45,0.568,0.129,0.371,0.551,0.428,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.15437076577076736,-3.4008602310411685e-06,0.7762695811344914,1.5525391622689828
EDGE_11_15642,11,15642,12.984788,77.611174,,30.0,0.5,0.43,0.666,0.427,0.487,0.524,0.554,0.726,0.418,0.438,0.12,0.403,0.486,0.36,0.417,12.65,0.648,0.257,0.323,0.488,0.432,4,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.24896329406189274,-3.4008602310411685e-06,0.7762756346429047,1.5525512692858094
EDGE_12_15643,12,15643,12.988788,77.603052,,20.0,0.17,0.34,0.675,0.346,0.018,0.414,0.636,0.692,0.221,0.47,0.071,0.344,0.463,0.359,0.342,4.48,0.505,0.143,0.325,0.513,0.331,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.12082972671630757,-3.4008602310411685e-06,0.7762695461203635,1.552539092240727
EDGE_13_15644,13,15644,12.980878,77.611095,,40.0,0.46,0.63,0.831,0.477,0.381,0.469,0.724,0.846,0.332,0.562,0.071,0.618,0.547,0.229,0.335,2.18,0.681,0.24,0.511,0.501,0.398,3,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,St. John's Road,secondary,secondary,Commercial Hub,0.11755327984813116,-3.4008602310411685e-06,0.7762815844412828,1.5525631688825656
EDGE_14_15645,14,15645,12.989237,77.605972,,20.0,0.38,0.36,0.67,0.348,0.194,0.325,0.588,0.707,0.266,0.519,0.18,0.33,0.461,0.304,0.353,2.1,0.521,0.203,0.344,0.573,0.378,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.1561197791161739,-3.4008602310411685e-06,0.7762688625718178,1.5525377251436356
EDGE_15_15646,15,15646,12.987686,77.601284,,30.0,0.12,0.34,0.668,0.397,0.392,0.748,0.536,0.608,0.304,0.447,0.063,0.33,0.481,0.269,0.362,4.17,0.566,0.27,0.273,0.439,0.412,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.23053001662336345,-3.4008602310411685e-06,0.7762712236872054,1.5525424473744107
EDGE_16_15647,16,15647,12.989192,77.610037,,20.0,0.58,0.37,0.654,0.331,0.477,0.321,0.548,0.733,0.331,0.503,0.136,0.401,0.411,0.297,0.384,3.4,0.639,0.145,0.398,0.521,0.326,4,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.14806730589227282,-3.4008602310411685e-06,0.7762689310799287,1.5525378621598573
EDGE_17_15648,17,15648,12.982782,77.601439,,30.0,0.47,0.25,0.634,0.426,0.472,0.134,0.506,0.602,0.443,0.388,0.095,0.421,0.451,0.318,0.395,7.78,0.51,0.174,0.32,0.378,0.382,4,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Bowring Hospital Road,residential,residential,Residential Hub,0.18724322716519698,-3.4008602310411685e-06,0.7762786873621055,1.552557374724211
EDGE_18_15649,18,15649,12.990164,77.610683,,30.0,0.12,0.44,0.684,0.379,0.214,0.895,0.679,0.778,0.335,0.637,0.111,0.418,0.607,0.196,0.37,8.56,0.64,0.11,0.469,0.685,0.42,8,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Mackan Road,tertiary,tertiary,Commercial Hub,0.17382883367425594,-3.4008602310411685e-06,0.7762674512542663,1.5525349025085327
EDGE_19_15650,19,15650,12.985673,77.604532,,20.0,0.3,0.42,0.657,0.371,0.209,0.245,0.601,0.717,0.215,0.472,0.116,0.331,0.496,0.263,0.324,1.98,0.564,0.081,0.275,0.481,0.325,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.06083316457697761,-3.4008602310411685e-06,0.7762742877117078,1.5525485754234156
EDGE_20_15651,20,15651,12.987881,77.612541,,20.0,0.43,0.21,0.658,0.397,0.066,0.762,0.56,0.721,0.257,0.465,0.129,0.437,0.468,0.346,0.424,4.73,0.608,0.095,0.392,0.504,0.416,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.17176577728227307,-3.4008602310411685e-06,0.7762709268499846,1.552541853699969
EDGE_21_15652,21,15652,12.984009,77.609239,,20.0,0.19,0.4,0.543,0.38,0.481,0.665,0.611,0.643,0.272,0.411,0.161,0.372,0.406,0.314,0.38,1.99,0.49,0.076,0.401,0.381,0.482,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.18056793174357647,-3.4008602310411685e-06,0.7762768201741409,1.5525536403482818
EDGE_22_15653,22,15653,12.9884,77.606472,,30.0,0.46,0.46,0.842,0.483,0.248,0.88,0.673,0.824,0.369,0.531,0.055,0.504,0.568,0.276,0.365,5.49,0.622,0.183,0.439,0.491,0.468,4,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Sultan Gunta Road,tertiary,tertiary,Commercial Hub,0.16607123574358973,-3.4008602310411685e-06,0.7762701367855489,1.5525402735710978
EDGE_23_15654,23,15654,12.986707,77.600305,,30.0,0.17,0.64,0.72,0.352,0.079,0.574,0.538,0.67,0.375,0.402,0.185,0.351,0.496,0.359,0.444,1.85,0.6,0.23,0.295,0.396,0.477,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Old Cemetery Road,residential,residential,Residential Hub,0.31380638204491945,-3.4008602310411685e-06,0.7762727138978993,1.5525454277957986
EDGE_24_15655,24,15655,12.986353,77.603698,,20.0,0.39,0.35,0.589,0.345,0.04,0.205,0.651,0.742,0.226,0.452,0.139,0.34,0.503,0.356,0.391,2.9,0.597,0.214,0.352,0.398,0.293,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.147336884198446,-3.4008602310411685e-06,0.776273252721913,1.552546505443826
EDGE_25_15656,25,15656,12.988091,77.609939,,30.0,0.33,0.46,0.584,0.334,0.412,0.643,0.572,0.629,0.495,0.449,0.075,0.397,0.517,0.296,0.453,6.0,0.639,0.142,0.286,0.47,0.507,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.26670217049647726,-3.4008602310411685e-06,0.7762706071743679,1.5525412143487358
EDGE_26_15657,26,15657,12.986968,77.608971,,30.0,0.2,0.68,0.72,0.361,0.376,0.655,0.525,0.627,0.359,0.435,0.144,0.381,0.472,0.282,0.404,17.04,0.604,0.143,0.323,0.414,0.483,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.25133929131441096,-3.4008602310411685e-06,0.776272316620356,1.552544633240712
EDGE_27_15658,27,15658,12.985612,77.602379,,20.0,0.58,0.27,0.553,0.298,0.313,0.53,0.655,0.679,0.354,0.533,0.197,0.479,0.492,0.245,0.419,3.22,0.665,0.197,0.341,0.54,0.362,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.1891006283180807,-3.4008602310411685e-06,0.7762743805538487,1.5525487611076974
EDGE_15659_15660,15659,15660,12.983905,77.609602,,30.0,0.54,0.54,0.618,0.406,0.245,0.594,0.534,0.647,0.463,0.439,0.082,0.491,0.5,0.365,0.454,0.25,0.602,0.098,0.295,0.394,0.495,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,LM Street,residential,residential,Residential Hub,0.23922740897058672,-3.4008602310411685e-06,0.7762769784427436,1.5525539568854871
EDGE_29_15661,29,15661,12.984597,77.602626,,20.0,0.41,0.7,0.622,0.398,0.439,0.323,0.656,0.721,0.216,0.484,0.07,0.386,0.429,0.403,0.381,4.3,0.61,0.185,0.415,0.446,0.336,2,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.15090397307616588,-3.4008602310411685e-06,0.7762759253250187,1.5525518506500373
EDGE_30_15662,30,15662,12.990847,77.603813,,30.0,0.46,0.59,0.833,0.467,0.296,0.307,0.653,0.805,0.351,0.594,0.08,0.493,0.655,0.247,0.381,7.53,0.767,0.13,0.478,0.612,0.334,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Cockburn Road,tertiary,tertiary,Commercial Hub,0.11711317700414738,-3.4008602310411685e-06,0.7762664113546085,1.552532822709217
EDGE_31_15663,31,15663,12.984345,77.610208,,30.0,0.43,0.31,0.705,0.41,0.45,0.299,0.618,0.728,0.347,0.44,0.169,0.461,0.518,0.283,0.33,2.45,0.531,0.263,0.312,0.419,0.393,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.14334956003108698,-3.4008602310411685e-06,0.7762763088365281,1.5525526176730562
EDGE_32_15664,32,15664,12.98799,77.606599,,30.0,0.4,0.68,0.689,0.377,0.131,0.597,0.521,0.631,0.481,0.435,0.111,0.479,0.543,0.334,0.418,9.44,0.661,0.128,0.328,0.405,0.505,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.2726771152140617,-3.4008602310411685e-06,0.7762707609237335,1.552541521847467
EDGE_33_15665,33,15665,12.98836,77.601934,,30.0,0.27,0.49,0.712,0.34,0.142,0.824,0.539,0.615,0.309,0.382,0.114,0.35,0.514,0.36,0.39,2.78,0.511,0.076,0.394,0.357,0.517,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.21720093435596755,-3.4008602310411685e-06,0.7762701976779082,1.5525403953558163
EDGE_34_15666,34,15666,12.986714,77.606241,,20.0,0.32,0.63,0.643,0.373,0.333,0.102,0.624,0.673,0.389,0.416,0.153,0.419,0.478,0.297,0.376,2.88,0.596,0.211,0.33,0.388,0.321,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.19895796928741144,-3.4008602310411685e-06,0.7762727032430458,1.5525454064860915
EDGE_35_15667,35,15667,12.989392,77.602002,,30.0,0.24,0.22,0.8,0.414,0.065,0.701,0.697,0.731,0.313,0.625,0.138,0.45,0.502,0.188,0.415,3.48,0.588,0.286,0.506,0.643,0.437,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Hazrat Kambal Posh Road,tertiary,tertiary,Commercial Hub,0.22517561330765035,-3.4008602310411685e-06,0.7762686265976998,1.5525372531953996
EDGE_36_15668,36,15668,12.991704,77.608316,,20.0,0.38,0.45,0.567,0.346,0.449,0.676,0.636,0.648,0.356,0.539,0.064,0.409,0.513,0.278,0.426,2.96,0.604,0.152,0.269,0.496,0.457,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.1900786136110031,-3.4008602310411685e-06,0.7762651064578371,1.5525302129156742
EDGE_37_15669,37,15669,12.99069,77.608238,,20.0,0.48,0.43,0.607,0.392,0.498,0.499,0.561,0.701,0.335,0.53,0.108,0.374,0.461,0.325,0.362,0.94,0.642,0.299,0.306,0.513,0.364,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.21330399181426885,-3.4008602310411685e-06,0.776266650399126,1.552533300798252
EDGE_38_15670,38,15670,12.98563,77.610869,,30.0,0.4,0.59,0.765,0.423,0.163,0.273,0.669,0.753,0.376,0.683,0.067,0.536,0.585,0.291,0.357,1.8,0.632,0.267,0.461,0.714,0.389,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Armstrong Road,tertiary,tertiary,Commercial Hub,0.16692500644271357,-3.4008602310411685e-06,0.7762743531578505,1.552548706315701
EDGE_39_15671,39,15671,12.985421,77.611796,,30.0,0.57,0.36,0.685,0.412,0.244,0.504,0.637,0.82,0.377,0.603,0.11,0.53,0.506,0.237,0.377,3.2,0.646,0.164,0.396,0.605,0.337,4,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Kamaraj Road,tertiary,tertiary,Commercial Hub,0.13174032522339113,-3.4008602310411685e-06,0.776274671253594,1.552549342507188
EDGE_40_15672,40,15672,12.984076,77.60897,,20.0,0.57,0.47,0.602,0.301,0.022,0.752,0.567,0.706,0.336,0.421,0.078,0.435,0.485,0.392,0.401,3.45,0.595,0.064,0.33,0.431,0.438,4,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.17250885550311848,-3.4008602310411685e-06,0.7762767182119955,1.552553436423991
EDGE_41_15673,41,15673,12.98551,77.608872,,30.0,0.39,0.54,0.617,0.398,0.38,0.746,0.578,0.712,0.434,0.468,0.159,0.442,0.51,0.344,0.452,3.47,0.574,0.184,0.345,0.44,0.528,4,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.2804422115720041,-3.4008602310411685e-06,0.7762745357971531,1.5525490715943062
EDGE_42_15674,42,15674,12.98354,77.611246,,30.0,0.3,0.34,0.595,0.343,0.417,0.696,0.587,0.67,0.433,0.424,0.161,0.424,0.474,0.35,0.459,5.45,0.554,0.063,0.31,0.468,0.443,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Sangam Road,residential,residential,Residential Hub,0.23603816286829574,-3.4008602310411685e-06,0.7762775338950774,1.5525550677901547
EDGE_43_15675,43,15675,12.990021,77.603335,,30.0,0.3,0.34,0.783,0.458,0.19,0.527,0.666,0.758,0.237,0.59,0.174,0.52,0.596,0.252,0.36,9.22,0.723,0.247,0.403,0.578,0.323,8,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Thimmaiah Road,tertiary,tertiary,Commercial Hub,0.14935567885852255,-3.4008602310411685e-06,0.7762676689718834,1.5525353379437667
EDGE_15676_15677,15676,15677,12.991195,77.604969,,50.0,0.31,0.53,0.66,0.384,0.346,0.764,0.695,0.915,0.197,0.601,0.157,0.627,0.718,0.185,0.286,4.64,0.662,0.246,0.564,0.57,0.316,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Sultan Gunta Road,primary,primary,Commercial Hub,0.06944962632223273,-3.4008602310411685e-06,0.7762658814881278,1.5525317629762556
EDGE_15678_15679,15678,15679,12.986115,77.603706,,30.0,0.33,0.31,0.611,0.407,0.156,0.292,0.605,0.694,0.389,0.467,0.133,0.44,0.536,0.24,0.409,2.64,0.562,0.175,0.265,0.512,0.403,8,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Noah Street,residential,residential,Residential Hub,0.1689419725717722,-3.4008602310411685e-06,0.7762736149742335,1.552547229948467
EDGE_15680_15681,15680,15681,12.985025,77.600802,,30.0,0.56,0.41,0.705,0.419,0.088,0.475,0.628,0.668,0.445,0.459,0.124,0.419,0.57,0.294,0.403,1.08,0.609,0.168,0.29,0.476,0.392,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Chick Bazaar Road,residential,residential,Residential Hub,0.20643857193417703,-3.4008602310411685e-06,0.7762752739478985,1.552550547895797
EDGE_47_15682,47,15682,12.9869,77.601514,,30.0,0.15,0.37,0.709,0.345,0.227,0.655,0.558,0.618,0.375,0.448,0.092,0.399,0.518,0.358,0.407,4.71,0.527,0.063,0.283,0.46,0.465,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.200991470815238,-3.4008602310411685e-06,0.7762724201263514,1.552544840252703
EDGE_15683_15684,15683,15684,12.985335,77.607016,,30.0,0.28,0.54,0.804,0.479,0.004,0.282,0.68,0.777,0.369,0.606,0.177,0.455,0.64,0.241,0.396,2.88,0.639,0.107,0.512,0.662,0.309,7,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Dharamaraja Koil Street,tertiary,tertiary,Commercial Hub,0.1646842427610654,-3.4008602310411685e-06,0.7762748021432443,1.5525496042864886
EDGE_49_15685,49,15685,12.981972,77.601588,,30.0,0.28,0.25,0.611,0.336,0.06,0.398,0.606,0.607,0.455,0.441,0.149,0.409,0.379,0.338,0.43,14.55,0.588,0.129,0.293,0.394,0.428,4,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Union street,residential,residential,Residential Hub,0.26041397363500446,-3.4008602310411685e-06,0.7762799198876538,1.5525598397753075
EDGE_50_15686,50,15686,12.986128,77.601644,,30.0,0.42,0.25,0.681,0.335,0.328,0.205,0.543,0.636,0.383,0.522,0.089,0.423,0.566,0.295,0.37,4.18,0.596,0.082,0.263,0.564,0.343,8,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.10831344658341896,-3.4008602310411685e-06,0.7762735951875059,1.5525471903750119
EDGE_51_15687,51,15687,12.991233,77.60793,,30.0,0.54,0.62,0.694,0.367,0.298,0.707,0.577,0.604,0.341,0.403,0.117,0.516,0.595,0.309,0.448,3.02,0.673,0.173,0.4,0.42,0.503,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.22902177354598507,-3.4008602310411685e-06,0.7762658236283226,1.5525316472566453
