node_id,lat,lng,zone,source_area,adjacency_count,connectivity_score
0,12.985035,77.60195,,,0,0.0
1,12.985249,77.6018,CENTRAL BANGALORE,Shivajinagar,1,0.1
2,12.986562,77.602883,CENTRAL BANGALORE,Shivajinagar,1,0.1
3,12.988376,77.610311,CENTRAL BANGALORE,Shivajinagar,1,0.1
4,12.990449,77.606616,CENTRAL BANGALORE,Shivajinagar,1,0.1
5,12.991637,77.608982,CENTRAL BANGALORE,Shivajinagar,1,0.1
6,12.983188,77.603468,CENTRAL BANGALORE,Shivajinagar,1,0.1
7,12.987532,77.609506,CENTRAL BANGALORE,Shivajinagar,1,0.1
8,12.984134,77.60621,CENTRAL BANGALORE,Shivajinagar,1,0.1
9,12.988047,77.60705,CENTRAL BANGALORE,Shivajinagar,1,0.1
10,12.988765,77.605357,,,0,0.0
11,12.984788,77.611174,CENTRAL BANGALORE,Shivajinagar,1,0.1
12,12.988788,77.603052,CENTRAL BANGALORE,Shivajinagar,1,0.1
13,12.980878,77.611095,CENTRAL BANGALORE,Shivajinagar,1,0.1
14,12.989237,77.605972,CENTRAL BANGALORE,Shivajinagar,1,0.1
15,12.987686,77.601284,CENTRAL BANGALORE,Shivajinagar,1,0.1
16,12.989192,77.610037,CENTRAL BANGALORE,Shivajinagar,1,0.1
17,12.982782,77.601439,CENTRAL BANGALORE,Shivajinagar,1,0.1
18,12.990164,77.610683,CENTRAL BANGALORE,Shivajinagar,1,0.1
19,12.985673,77.604532,CENTRAL BANGALORE,Shivajinagar,1,0.1
20,12.987881,77.612541,CENTRAL BANGALORE,Shivajinagar,1,0.1
21,12.984009,77.609239,CENTRAL BANGALORE,Shivajinagar,1,0.1
22,12.9884,77.606472,CENTRAL BANGALORE,Shivajinagar,1,0.1
23,12.986707,77.600305,CENTRAL BANGALORE,Shivajinagar,1,0.1
24,12.986353,77.603698,CENTRAL BANGALORE,Shivajinagar,1,0.1
25,12.988091,77.609939,CENTRAL BANGALORE,Shivajinagar,1,0.1
26,12.986968,77.608971,CENTRAL BANGALORE,Shivajinagar,1,0.1
27,12.985612,77.602379,CENTRAL BANGALORE,Shivajinagar,1,0.1
28,12.983905,77.609602,,,0,0.0
29,12.984597,77.602626,CENTRAL BANGALORE,Shivajinagar,1,0.1
30,12.990847,77.603813,CENTRAL BANGALORE,Shivajinagar,1,0.1
31,12.984345,77.610208,CENTRAL BANGALORE,Shivajinagar,1,0.1
32,12.98799,77.606599,CENTRAL BANGALORE,Shivajinagar,1,0.1
33,12.98836,77.601934,CENTRAL BANGALORE,Shivajinagar,1,0.1
34,12.986714,77.606241,CENTRAL BANGALORE,Shivajinagar,1,0.1
35,12.989392,77.602002,CENTRAL BANGALORE,Shivajinagar,1,0.1
36,12.991704,77.608316,CENTRAL BANGALORE,Shivajinagar,1,0.1
37,12.99069,77.608238,CENTRAL BANGALORE,Shivajinagar,1,0.1
38,12.98563,77.610869,CENTRAL BANGALORE,Shivajinagar,1,0.1
39,12.985421,77.611796,CENTRAL BANGALORE,Shivajinagar,1,0.1
40,12.984076,77.60897,CENTRAL BANGALORE,Shivajinagar,1,0.1
41,12.98551,77.608872,CENTRAL BANGALORE,Shivajinagar,1,0.1
42,12.98354,77.611246,CENTRAL BANGALORE,Shivajinagar,1,0.1
43,12.990021,77.603335,CENTRAL BANGALORE,Shivajinagar,1,0.1
44,12.991195,77.604969,,,0,0.0
45,12.986115,77.603706,,,0,0.0
46,12.985025,77.600802,,,0,0.0
47,12.9869,77.601514,CENTRAL BANGALORE,Shivajinagar,1,0.1
48,12.985335,77.607016,,,0,0.0
49,12.981972,77.601588,CENTRAL BANGALORE,Shivajinagar,1,0.1
50,12.986128,77.601644,CENTRAL BANGALORE,Shivajinagar,1,0.1
51,12.991233,77.60793,CENTRAL BANGALORE,Shivajinagar,1,0.1
52,12.985313,77.602653,CENTRAL BANGALORE,Shivajinagar,1,0.1
53,12.987969,77.611392,CENTRAL BANGALORE,Shivajinagar,1,0.1
54,12.989785,77.606698,CENTRAL BANGALORE,Shivajinagar,1,0.1
55,12.98642,77.611847,CENTRAL BANGALORE,Shivajinagar,1,0.1
56,12.987702,77.610168,CENTRAL BANGALORE,Shivajinagar,1,0.1
57,12.989082,77.603915,CENTRAL BANGALORE,Shivajinagar,1,0.1
58,12.986743,77.611375,CENTRAL BANGALORE,Shivajinagar,1,0.1
59,12.983978,77.611376,CENTRAL BANGALORE,Shivajinagar,1,0.1
60,12.980342,77.611922,CENTRAL BANGALORE,Shivajinagar,1,0.1
61,12.984707,77.610126,CENTRAL BANGALORE,Shivajinagar,1,0.1
62,12.984978,77.60753,CENTRAL BANGALORE,Shivajinagar,1,0.1
63,12.992065,77.599983,,,0,0.0
64,12.985801,77.609459,CENTRAL BANGALORE,Shivajinagar,1,0.1
65,12.985345,77.61075,,,0,0.0
66,12.985257,77.600512,CENTRAL BANGALORE,Shivajinagar,1,0.1
67,12.987488,77.6058,CENTRAL BANGALORE,Shivajinagar,1,0.1
68,12.988037,77.608058,CENTRAL BANGALORE,Shivajinagar,1,0.1
69,12.991007,77.612117,CENTRAL BANGALORE,Shivajinagar,1,0.1
70,12.985027,77.604459,CENTRAL BANGALORE,Shivajinagar,1,0.1
71,12.990665,77.608069,CENTRAL BANGALORE,Shivajinagar,1,0.1
72,12.988354,77.611281,CENTRAL BANGALORE,Shivajinagar,1,0.1
73,12.991421,77.609452,CENTRAL BANGALORE,Shivajinagar,1,0.1
74,12.990732,77.608712,CENTRAL BANGALORE,Shivajinagar,1,0.1
75,12.987907,77.600055,,,0,0.0
76,12.989621,77.611194,CENTRAL BANGALORE,Shivajinagar,1,0.1
77,12.989225,77.602153,CENTRAL BANGALORE,Shivajinagar,1,0.1
78,12.986086,77.601418,CENTRAL BANGALORE,Shivajinagar,1,0.1
79,12.984977,77.604699,CENTRAL BANGALORE,Shivajinagar,1,0.1
80,12.986884,77.604238,CENTRAL BANGALORE,Shivajinagar,1,0.1
81,12.985363,77.602339,CENTRAL BANGALORE,Shivajinagar,1,0.1
82,12.985724,77.598906,CENTRAL BANGALORE,Shivajinagar,1,0.1
83,12.988611,77.603309,CENTRAL BANGALORE,Shivajinagar,1,0.1
84,12.989991,77.602134,CENTRAL BANGALORE,Shivajinagar,1,0.1
85,12.984453,77.611024,CENTRAL BANGALORE,Shivajinagar,1,0.1
86,12.985443,77.601137,CENTRAL BANGALORE,Shivajinagar,1,0.1
87,12.986152,77.599277,CENTRAL BANGALORE,Shivajinagar,1,0.1
88,12.988919,77.601959,CENTRAL BANGALORE,Shivajinagar,1,0.1
89,12.990326,77.607612,CENTRAL BANGALORE,Shivajinagar,1,0.1
90,12.987107,77.607424,CENTRAL BANGALORE,Shivajinagar,1,0.1
91,12.991226,77.610292,CENTRAL BANGALORE,Shivajinagar,1,0.1
