zone,lat,lng,final_risk_score,road_risk_score,confidence_score,uncertainty_level,risk_band
EAST BANGALORE,12.961054,77.7187,100.0,0.603,0.5182,0.6151,Critical
EAST BANGALORE,12.954901,77.7198,100.0,0.6317,0.5211,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.898912,77.676315,99.48,0.5941,0.5102,0.6151,Critical
WEST BANGALORE,12.97615,77.63307,98.97,0.6136,0.7529,0.2464,Critical
EAST BANGALORE,12.959116,77.72201,98.73,0.614,0.521,0.6151,Critical
EAST BANGALORE,12.957783,77.71976,98.71,0.5407,0.5225,0.6151,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.914344,77.62649,98.4,0.6484,0.5524,0.5843,Critical
EAST BANGALORE,12.961126,77.71827,97.76,0.5993,0.5194,0.6151,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.916897,77.61656,97.63,0.6176,0.5673,0.5556,Critical
SOUTH BANGALORE,12.942486,77.580376,97.45,0.6522,0.5631,0.5556,Critical
EAST BANGALORE,12.957989,77.71926,96.01,0.5876,0.5238,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.914032,77.61862,95.94,0.5652,0.5661,0.5556,Critical
WEST BANGALORE,12.980294,77.63475,95.75,0.5064,0.7785,0.2143,Critical
EAST BANGALORE,12.960674,77.71865,95.57,0.5711,0.5227,0.6151,Critical
SOUTH BANGALORE,12.914046,77.63438,95.49,0.611,0.587,0.5286,Critical
WEST BANGALORE,12.97815,77.63309,95.31,0.5195,0.758,0.2464,Critical
WEST BANGALORE,13.017895,77.53912,95.13,0.649,0.5818,0.5286,Critical
WEST BANGALORE,12.973081,77.63588,95.08,0.5232,0.7946,0.1835,Critical
WEST BANGALORE,12.973787,77.62941,94.66,0.6389,0.5861,0.5286,Critical
EAST BANGALORE,12.961703,77.71867,94.61,0.6169,0.5197,0.6151,Critical
EAST BANGALORE,12.958631,77.71793,94.53,0.5947,0.5172,0.6151,Critical
WEST BANGALORE,13.001833,77.54648,94.44,0.6398,0.5263,0.6151,Critical
NORTH BANGALORE,12.943803,77.59121,94.27,0.5905,0.503,0.6486,Critical
SOUTHEAST / IT CORRIDOR,12.903547,77.67659,94.26,0.6148,0.5188,0.6151,Critical
SOUTH BANGALORE,12.927903,77.59679,93.99,0.5859,0.5004,0.6486,Critical
WEST BANGALORE,12.97443,77.63241,93.88,0.5667,0.6931,0.3521,Critical
WEST BANGALORE,12.9776,77.63083,93.82,0.5572,0.6967,0.3521,Critical
WEST BANGALORE,12.976294,77.63164,93.81,0.6343,0.6917,0.3521,Critical
WEST BANGALORE,12.975702,77.63703,93.57,0.5536,0.8077,0.1538,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.917408,77.61788,93.44,0.5748,0.5684,0.5556,Critical
SOUTHEAST / IT CORRIDOR,12.915117,77.62813,93.4,0.6447,0.5476,0.5843,Critical
EAST BANGALORE,12.936857,77.70673,93.38,0.6093,0.5517,0.5843,Critical
EAST BANGALORE,12.960459,77.72276,93.27,0.5966,0.5249,0.6151,Critical
CENTRAL BANGALORE,12.993923,77.59443,93.27,0.6321,0.5248,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.900618,77.67773,93.24,0.6806,0.5141,0.6151,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.915769,77.61691,93.18,0.595,0.5641,0.5556,Critical
WEST BANGALORE,12.997603,77.54206,93.11,0.6947,0.5234,0.6151,Critical
WEST BANGALORE,12.976957,77.63321,93.04,0.5347,0.7592,0.2464,Critical
EAST BANGALORE,12.962788,77.71775,93.02,0.64,0.52,0.6151,Critical
WEST BANGALORE,12.975983,77.63626,92.98,0.4827,0.8106,0.1538,Critical
NORTH BANGALORE,13.072071,77.583954,92.97,0.5812,0.527,0.6151,Critical
EAST BANGALORE,12.959956,77.71938,92.89,0.5864,0.5201,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.901546,77.67872,92.87,0.5793,0.5212,0.6151,Critical
NORTH BANGALORE,13.050196,77.601295,92.81,0.6506,0.5491,0.5843,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.915945,77.62637,92.67,0.6527,0.5473,0.5843,Critical
WEST BANGALORE,12.975327,77.63235,92.67,0.6325,0.6917,0.3521,Critical
SOUTH BANGALORE,12.91548,77.63057,92.58,0.633,0.5866,0.5286,Critical
WEST BANGALORE,13.015599,77.53919,92.55,0.6621,0.5456,0.5843,Critical
EAST BANGALORE,12.959526,77.71895,92.52,0.6694,0.5157,0.6151,Critical
SOUTH BANGALORE,12.923443,77.61663,92.39,0.615,0.6351,0.4557,Critical
SOUTHEAST / IT CORRIDOR,12.915281,77.64322,92.36,0.6,0.6186,0.4788,Critical
WEST BANGALORE,12.974675,77.63756,92.35,0.4939,0.8135,0.1538,Critical
SOUTHEAST / IT CORRIDOR,12.903919,77.67666,92.34,0.6171,0.5236,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.964566,77.638756,92.33,0.6222,0.5866,0.5286,Critical
WEST BANGALORE,12.978125,77.63354,92.29,0.4996,0.7611,0.2464,Critical
EAST BANGALORE,12.937768,77.71195,92.27,0.6494,0.5463,0.5843,Critical
EAST BANGALORE,12.957349,77.717834,92.13,0.5934,0.5187,0.6151,Critical
EAST BANGALORE,12.957398,77.71958,92.12,0.6033,0.5233,0.6151,Critical
SOUTH BANGALORE,12.91083,77.635635,92.11,0.6037,0.6195,0.4788,Critical
WEST BANGALORE,13.015912,77.53441,92.1,0.6438,0.548,0.5843,Critical
SOUTHEAST / IT CORRIDOR,12.912781,77.63047,92.01,0.636,0.5895,0.5286,Critical
EAST BANGALORE,12.954182,77.72113,92.0,0.6589,0.5232,0.6151,Critical
SOUTH BANGALORE,12.940743,77.60195,91.9,0.6332,0.6049,0.5031,Critical
EAST BANGALORE,12.950657,77.714226,91.87,0.6089,0.5455,0.5843,Critical
SOUTH BANGALORE,12.924986,77.616295,91.83,0.6175,0.6997,0.3521,Critical
EAST BANGALORE,12.935939,77.7049,91.82,0.6616,0.6229,0.4788,Critical
SOUTHEAST / IT CORRIDOR,12.959003,77.64017,91.79,0.6042,0.5864,0.5286,Critical
WEST BANGALORE,12.974812,77.63128,91.79,0.5931,0.6711,0.3914,Critical
WEST BANGALORE,12.974496,77.638794,91.77,0.5064,0.8102,0.1538,Critical
WEST BANGALORE,12.975852,77.632,91.74,0.5549,0.6976,0.3521,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.914758,77.61884,91.73,0.5739,0.5665,0.5556,Critical
EAST BANGALORE,12.958873,77.71772,91.63,0.5718,0.5197,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.922589,77.667984,91.62,0.5505,0.5268,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.921948,77.614174,91.57,0.5522,0.6236,0.4788,Critical
SOUTH BANGALORE,12.862258,77.590576,91.56,0.6889,0.5219,0.6151,Critical
SOUTH BANGALORE,12.917023,77.63174,91.48,0.6211,0.5871,0.5286,Critical
WEST BANGALORE,12.973932,77.63768,91.43,0.508,0.7934,0.1835,Critical
WEST BANGALORE,12.973512,77.63807,91.34,0.4969,0.795,0.1835,Critical
EAST BANGALORE,12.959898,77.71786,91.3,0.5924,0.515,0.6151,Critical
CENTRAL BANGALORE,12.994251,77.57894,91.16,0.5214,0.5326,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.915389,77.6167,91.16,0.6085,0.5647,0.5556,Critical
SOUTH BANGALORE,12.919066,77.63429,91.1,0.5315,0.5924,0.5286,Critical
WEST BANGALORE,12.974469,77.63859,91.08,0.4489,0.815,0.1538,Critical
EAST BANGALORE,12.948172,77.71554,91.04,0.6649,0.5449,0.5843,Critical
EAST BANGALORE,12.959086,77.71813,91.02,0.5555,0.5223,0.6151,Critical
EAST BANGALORE,12.981598,77.71632,91.01,0.6548,0.5232,0.6151,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.922582,77.620255,91.01,0.6533,0.637,0.4557,Critical
EAST BANGALORE,12.980797,77.71459,90.94,0.6853,0.5208,0.6151,Critical
SOUTH BANGALORE,12.943478,77.59531,90.91,0.637,0.5487,0.5843,Critical
SOUTH BANGALORE,12.921577,77.59795,90.86,0.5904,0.5053,0.6486,Critical
SOUTH BANGALORE,12.91531,77.61704,90.86,0.5127,0.5706,0.5556,Critical
SOUTH BANGALORE,12.946263,77.591545,90.75,0.6252,0.5879,0.5286,Critical
NORTH BANGALORE,13.071278,77.58342,90.67,0.5515,0.5318,0.6151,Critical
SOUTH BANGALORE,12.919238,77.61629,90.66,0.5972,0.5258,0.6151,Critical
EAST BANGALORE,12.957318,77.71828,90.63,0.6436,0.5192,0.6151,Critical
SOUTH BANGALORE,12.865067,77.58843,90.54,0.7188,0.5217,0.6151,Critical
EAST BANGALORE,12.959457,77.72031,90.53,0.5674,0.522,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.916377,77.62903,90.53,0.668,0.5851,0.5286,Critical
EAST BANGALORE,12.960369,77.71987,90.5,0.6351,0.5188,0.6151,Critical
WEST BANGALORE,12.974328,77.62971,90.48,0.6505,0.6171,0.4788,Critical
WEST BANGALORE,12.998973,77.5451,90.44,0.6427,0.5257,0.6151,Critical
WEST BANGALORE,12.972105,77.63186,90.43,0.5722,0.6191,0.4788,Critical
