zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,flood_risk,crime_score,event_frequency,poi_density,adjacency_count,lighting_score,cctv_density_estimate,police_station_distance,activity_score,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,congestion_score,travel_time_estimate,weather_exposure_score,time_risk,score_crime,score_lighting,score_activity,score_event,score_road,score_infra,score_cctv,score_police,score_poi,micro_risk,meso_risk,macro_risk,behavioural_adj,poi_interaction,time_multiplier,time_context,final_risk_score,contextual_risk,confidence_score,uncertainty_level,risk_band
NORTH BANGALORE,Bi-directional,13.040464,77.59743,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.48,0.22,0.618,0.214,0.17,0.29,0.395,0.067,0.433,2,0.3679,0.2844,0.5222,0.1874,0.7124,0.2831,1.0,0.5605,0.5393,13.25,0.4311,0.519,0.4988,0.9481,0.1874,0.0474,0.3339,0.2876,0.2844,0.5222,0.1464,0.6016,0.5982,0.6131,0.18,-0.0143,1.0951,late_night,65.09,84.12,0.6704,0.4121,High
NORTH BANGALORE,Bi-directional,13.034888,77.5935,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.33,0.68,0.543,0.252,0.158,0.058,0.474,0.142,0.353,6,0.3322,0.2859,0.3235,0.1735,0.6707,0.5834,0.6531,0.5531,0.5794,12.96,0.3641,0.414,0.7055,1.0,0.1735,0.084,0.3291,0.3293,0.2859,0.3235,0.1682,0.5934,0.5537,0.6131,0.18,-0.0056,1.0951,late_night,72.29,83.32,0.6715,0.4121,High
NORTH BANGALORE,Bi-directional,13.036651,77.590324,Hebbal,Hebbal,5th Main Road,residential,residential,none,7.5m,30.0,0.2,0.39,0.57,0.223,0.206,0.226,0.378,0.084,0.354,8,0.3555,0.295,0.3422,0.173,0.6945,0.5551,0.8379,0.5439,0.4696,11.18,0.3895,0.365,0.46,0.9668,0.173,0.0452,0.3069,0.3055,0.295,0.3422,0.1452,0.5567,0.5763,0.6131,0.18,-0.0064,1.0951,late_night,66.69,81.44,0.6741,0.4121,High
NORTH BANGALORE,Bi-directional,13.031943,77.59547,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.47,0.35,0.62,0.22,0.206,0.132,0.361,0.198,0.338,2,0.3595,0.3267,0.3506,0.1909,0.5608,0.3053,0.7292,0.5612,0.5478,10.83,0.3645,0.344,0.4504,0.9608,0.1909,0.0989,0.3109,0.4392,0.3267,0.3506,0.1409,0.5502,0.5285,0.6131,0.18,-0.0045,1.0951,late_night,64.06,79.91,0.482,0.6857,High
NORTH BANGALORE,Bi-directional,13.031354,77.597244,Hebbal,Hebbal,3rd Cross Road,residential,residential,none,7.5m,30.0,0.48,0.42,0.603,0.239,0.138,0.075,0.303,0.137,0.403,8,0.3284,0.3152,0.3081,0.1895,0.578,0.5401,0.479,0.471,0.5593,12.9,0.3973,0.361,0.4411,1.0,0.1895,0.0731,0.3146,0.422,0.3152,0.3081,0.1697,0.5257,0.5417,0.6131,0.18,-0.0043,1.0951,late_night,68.45,78.69,0.4836,0.6857,High
NORTH BANGALORE,Bi-directional,13.040089,77.59262,Hebbal,Hebbal,Vishwanatha Nagenhalli Main Road,tertiary,tertiary,none,7.5m,30.0,0.5,0.44,0.678,0.286,0.246,0.116,0.324,0.071,0.443,6,0.4345,0.3473,0.3146,0.2079,0.7128,0.5131,0.8223,0.5179,0.5756,12.81,0.4443,0.286,0.2881,0.8482,0.2079,0.0445,0.3114,0.2872,0.3473,0.3146,0.1479,0.4902,0.5724,0.6131,0.0,-0.0192,1.0951,late_night,21.93,55.85,0.6806,0.4121,Low
NORTH BANGALORE,Bi-directional,13.036472,77.59137,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.32,0.54,0.559,0.221,0.349,0.139,0.316,0.066,0.315,8,0.3546,0.3145,0.5918,0.1711,0.6886,0.5911,0.8367,0.5288,0.5741,12.3,0.3884,0.442,0.3953,0.9681,0.1711,0.0423,0.3191,0.3114,0.3145,0.5918,0.153,0.5738,0.5763,0.6131,0.18,-0.0057,1.0951,late_night,69.23,82.64,0.6724,0.4121,High
NORTH BANGALORE,Bi-directional,13.038907,77.590836,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.45,0.43,0.586,0.199,0.481,0.085,0.456,0.086,0.331,6,0.3678,0.2762,0.5531,0.1747,0.7096,0.5094,0.8174,0.5554,0.5565,12.96,0.3695,0.486,0.5612,0.9484,0.1747,0.0466,0.3116,0.2904,0.2762,0.5531,0.1304,0.5964,0.5763,0.6131,0.18,-0.013,1.0951,late_night,77.75,83.33,0.6715,0.4121,High
NORTH BANGALORE,Bi-directional,13.041567,77.59341,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.53,0.33,0.58,0.197,0.15,0.112,0.316,0.104,0.328,5,0.3325,0.2883,0.6082,0.173,0.6778,0.4332,0.9204,0.5479,0.5367,11.1,0.4006,0.503,0.3491,1.0,0.173,0.0545,0.3224,0.3222,0.2883,0.6082,0.1073,0.5861,0.5724,0.6131,0.18,-0.0293,1.0951,late_night,58.88,80.76,0.675,0.4121,Moderate
NORTH BANGALORE,Bi-directional,13.03445,77.596565,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.14,0.31,0.643,0.213,0.464,0.17,0.475,0.133,0.332,6,0.3449,0.3329,0.4333,0.2026,0.6383,0.463,0.6226,0.5052,0.4722,9.97,0.3948,0.528,0.5941,0.9826,0.2026,0.0864,0.3206,0.3617,0.3329,0.4333,0.1872,0.5772,0.5582,0.6131,0.0,-0.0165,1.0951,late_night,24.63,61.48,0.6806,0.4121,Low
