intersection_node,from_edge,to_edge,bearing_in,bearing_out,turn_angle,turn_type,turn_penalty
781,EDGE_39_42951,EDGE_781_43748,44.09,44.26,0.17,Straight,0.0
3596,EDGE_85_43000,EDGE_3596_46788,44.4,44.26,-0.14,Straight,0.0
237,EDGE_116_43033,EDGE_237_43161,44.66,44.26,-0.4,Straight,0.0
651,EDGE_165_43084,EDGE_651_43608,44.38,44.26,-0.12,Straight,0.0
3268,EDGE_176_43095,EDGE_46437_46438,43.88,44.26,0.38,Straight,0.0
836,EDGE_276_43203,EDGE_836_43808,44.06,44.26,0.2,Straight,0.0
796,EDGE_313_43244,EDGE_796_43765,43.79,44.26,0.47,Straight,0.0
3583,EDGE_381_43315,EDGE_3583_46775,44.47,44.26,-0.21,Straight,0.0
898,EDGE_43322_43323,EDGE_43874_43875,44.47,44.26,-0.21,Straight,0.0
597,EDGE_393_43329,EDGE_597_43548,43.81,44.26,0.45,Straight,0.0
1092,EDGE_43339_43340,EDGE_1092_44085,44.18,44.26,0.08,Straight,0.0
3577,EDGE_599_43550,EDGE_3577_46769,44.28,44.26,-0.02,Straight,0.0
743,EDGE_634_43589,EDGE_743_43706,43.86,44.26,0.4,Straight,0.0
697,EDGE_636_43591,EDGE_697_43659,44.69,44.26,-0.43,Straight,0.0
123,EDGE_658_43616,EDGE_123_43040,44.14,44.26,0.12,Straight,0.0
233,EDGE_43617_43618,EDGE_43156_43157,44.28,44.26,-0.02,Straight,0.0
242,EDGE_757_43720,EDGE_242_43166,43.44,44.26,0.82,Straight,0.0
3618,EDGE_765_43729,EDGE_3618_46811,44.47,44.26,-0.21,Straight,0.0
3572,EDGE_815_43786,EDGE_3572_46763,44.74,44.26,-0.48,Straight,0.0
232,EDGE_818_43789,EDGE_232_43155,43.69,44.26,0.57,Straight,0.0
3463,EDGE_862_43835,EDGE_3463_46644,44.8,44.26,-0.54,Straight,0.0
3494,EDGE_867_43840,EDGE_3494_46678,44.75,44.26,-0.49,Straight,0.0
3467,EDGE_891_43866,EDGE_3467_46648,44.53,44.26,-0.27,Straight,0.0
3304,EDGE_43908_43909,EDGE_3304_46475,43.75,44.26,0.51,Straight,0.0
3427,EDGE_938_43917,EDGE_3427_46607,44.8,44.26,-0.54,Straight,0.0
380,EDGE_978_43963,EDGE_380_43314,44.16,44.26,0.1,Straight,0.0
844,EDGE_1043_44033,EDGE_844_43816,44.12,44.26,0.14,Straight,0.0
849,EDGE_1046_44036,EDGE_43821_43822,44.73,44.26,-0.47,Straight,0.0
816,EDGE_1066_44057,EDGE_816_43787,44.45,44.26,-0.19,Straight,0.0
1120,EDGE_1137_44132,EDGE_1120_44114,44.37,44.26,-0.11,Straight,0.0
30,EDGE_1156_44152,EDGE_30_42941,43.9,44.26,0.36,Straight,0.0
1074,EDGE_1194_44193,EDGE_1074_44065,43.91,44.26,0.35,Straight,0.0
1143,EDGE_1207_44207,EDGE_1143_44138,44.47,44.26,-0.21,Straight,0.0
1502,EDGE_1449_44470,EDGE_1502_44533,44.28,44.26,-0.02,Straight,0.0
1349,EDGE_1545_44580,EDGE_1349_44360,44.29,44.26,-0.03,Straight,0.0
