zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count
SOUTHEAST / IT CORRIDOR,Bi-directional,12.910028,77.609888,BTM Layout,BTM Layout,15th Main Road,residential,residential,none,7.5m,30.0,0.23,0.37,0.708,0.434,0.167,0.669,0.572,0.674,0.424,0.411,0.165,0.44,0.476,0.293,0.385,6.43,0.533,0.117,0.382,0.395,0.501,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.91736,77.617245,BTM Layout,BTM Layout,2nd Cross Road,residential,residential,none,7.5m,30.0,0.6,0.29,0.642,0.433,0.022,0.643,0.502,0.702,0.49,0.399,0.196,0.504,0.449,0.386,0.449,0.38,0.567,0.171,0.311,0.366,0.488,4
SOUTHEAST / IT CORRIDOR,Bi-directional,12.915458,77.616726,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.25,0.52,0.702,0.478,0.052,0.582,0.519,0.664,0.456,0.441,0.125,0.463,0.553,0.38,0.466,0.68,0.611,0.152,0.313,0.464,0.419,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.908823,77.61066,BTM Layout,BTM Layout,10th Cross Road,residential,residential,none,7.5m,30.0,0.27,0.64,0.625,0.436,0.064,0.116,0.586,0.604,0.427,0.492,0.083,0.346,0.556,0.326,0.4,6.02,0.679,0.282,0.352,0.536,0.307,8
SOUTHEAST / IT CORRIDOR,Bi-directional,12.909536,77.603392,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.34,0.49,0.627,0.384,0.26,0.511,0.473,0.672,0.377,0.442,0.143,0.427,0.508,0.296,0.4,3.86,0.651,0.242,0.377,0.485,0.448,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.911423,77.611041,BTM Layout,BTM Layout,5th B Cross Road,residential,residential,none,7.5m,30.0,0.59,0.26,0.672,0.385,0.387,0.392,0.505,0.692,0.37,0.474,0.169,0.417,0.362,0.406,0.383,4.83,0.546,0.197,0.4,0.517,0.381,2
SOUTHEAST / IT CORRIDOR,Bi-directional,12.914077,77.615771,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.54,0.3,0.574,0.475,0.059,0.124,0.492,0.684,0.487,0.415,0.138,0.504,0.476,0.372,0.442,7.94,0.58,0.143,0.414,0.41,0.414,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.907004,77.611099,BTM Layout,BTM Layout,16th Main Road,tertiary,tertiary,none,7.5m,30.0,0.31,0.52,0.69,0.553,0.047,0.805,0.616,0.72,0.256,0.574,0.072,0.557,0.597,0.239,0.382,0.69,0.632,0.116,0.485,0.544,0.351,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.908543,77.605781,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.37,0.51,0.679,0.404,0.398,0.525,0.54,0.592,0.356,0.432,0.102,0.395,0.541,0.362,0.464,6.99,0.671,0.203,0.308,0.446,0.395,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.919405,77.603549,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.12,0.4,0.604,0.499,0.198,0.598,0.556,0.573,0.463,0.424,0.156,0.416,0.548,0.346,0.432,2.87,0.53,0.093,0.305,0.47,0.516,8
SOUTHEAST / IT CORRIDOR,Bi-directional,12.917716,77.607696,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.37,0.22,0.593,0.472,0.462,0.795,0.519,0.669,0.412,0.43,0.106,0.435,0.52,0.318,0.389,2.81,0.531,0.175,0.33,0.453,0.528,8
SOUTHEAST / IT CORRIDOR,Bi-directional,12.919025,77.613602,BTM Layout,BTM Layout,7th Cross Road,residential,residential,none,7.5m,30.0,0.23,0.23,0.58,0.403,0.338,0.248,0.552,0.625,0.38,0.451,0.097,0.352,0.425,0.297,0.369,3.39,0.579,0.133,0.354,0.45,0.317,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.918316,77.605719,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.51,0.67,0.601,0.421,0.156,0.555,0.516,0.624,0.344,0.456,0.145,0.464,0.546,0.337,0.401,3.04,0.657,0.158,0.342,0.477,0.39,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.916627,77.610086,BTM Layout,BTM Layout,Outer Ring Road,trunk,trunk,none,7.5m,60.0,0.19,0.28,0.581,0.493,0.102,0.491,0.755,0.818,0.232,0.518,0.124,0.755,0.605,0.233,0.34,0.75,0.635,0.213,0.548,0.552,0.346,4
SOUTHEAST / IT CORRIDOR,Bi-directional,12.912063,77.611716,BTM Layout,BTM Layout,5th A Cross Road,residential,residential,none,7.5m,30.0,0.48,0.51,0.619,0.438,0.34,0.736,0.599,0.655,0.43,0.441,0.087,0.423,0.442,0.387,0.487,8.53,0.647,0.157,0.347,0.485,0.495,2
SOUTHEAST / IT CORRIDOR,Bi-directional,12.917363,77.603979,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.6,0.38,0.711,0.414,0.492,0.178,0.534,0.607,0.386,0.364,0.106,0.408,0.538,0.374,0.402,3.53,0.565,0.171,0.392,0.387,0.368,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.918046,77.608402,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.44,0.29,0.666,0.453,0.334,0.365,0.515,0.676,0.31,0.373,0.174,0.496,0.534,0.343,0.393,8.98,0.523,0.113,0.305,0.367,0.343,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.92058,77.616084,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.41,0.61,0.673,0.41,0.237,0.244,0.564,0.659,0.351,0.367,0.152,0.422,0.56,0.397,0.414,1.26,0.563,0.076,0.37,0.347,0.422,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.920928,77.610764,BTM Layout,BTM Layout,16th Main,secondary,secondary,none,7.5m,40.0,0.25,0.21,0.665,0.555,0.424,0.101,0.588,0.763,0.324,0.577,0.167,0.552,0.509,0.306,0.4,0.37,0.632,0.14,0.429,0.577,0.253,4
SOUTHEAST / IT CORRIDOR,Bi-directional,12.907999,77.604741,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.41,0.51,0.596,0.49,0.206,0.365,0.518,0.628,0.409,0.41,0.143,0.456,0.421,0.439,0.489,14.42,0.68,0.283,0.367,0.393,0.408,2
SOUTHEAST / IT CORRIDOR,Bi-directional,12.91781,77.604165,BTM Layout,BTM Layout,9th Main Road,residential,residential,none,7.5m,30.0,0.53,0.63,0.705,0.491,0.157,0.427,0.589,0.664,0.401,0.411,0.19,0.471,0.571,0.347,0.451,3.03,0.648,0.119,0.371,0.455,0.395,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.909362,77.60707,BTM Layout,BTM Layout,18th Cross Road,residential,residential,none,7.5m,30.0,0.26,0.27,0.664,0.466,0.105,0.691,0.497,0.632,0.481,0.402,0.095,0.383,0.41,0.369,0.447,2.86,0.601,0.123,0.305,0.403,0.464,2
SOUTHEAST / IT CORRIDOR,Bi-directional,12.912839,77.604218,BTM Layout,BTM Layout,2nd Main Road,residential,residential,none,7.5m,30.0,0.25,0.36,0.691,0.476,0.483,0.785,0.499,0.647,0.487,0.494,0.182,0.355,0.478,0.358,0.443,4.43,0.553,0.124,0.378,0.491,0.512,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.910625,77.615047,BTM Layout,BTM Layout,4th B Cross Road,residential,residential,none,7.5m,30.0,0.36,0.28,0.621,0.426,0.24,0.697,0.558,0.597,0.345,0.47,0.097,0.465,0.502,0.278,0.387,9.65,0.617,0.105,0.355,0.453,0.424,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.911829,77.605912,BTM Layout,BTM Layout,6th Main Road,residential,residential,none,7.5m,30.0,0.4,0.28,0.655,0.501,0.29,0.519,0.549,0.622,0.377,0.482,0.145,0.424,0.537,0.308,0.397,3.99,0.652,0.182,0.309,0.498,0.425,8
SOUTHEAST / IT CORRIDOR,Bi-directional,12.910737,77.604094,BTM Layout,BTM Layout,4th Main Road,residential,residential,none,7.5m,30.0,0.39,0.35,0.644,0.402,0.435,0.784,0.569,0.598,0.329,0.449,0.167,0.451,0.523,0.276,0.415,3.35,0.579,0.147,0.385,0.451,0.441,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.918357,77.615571,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.51,0.3,0.598,0.417,0.42,0.41,0.517,0.658,0.394,0.426,0.055,0.49,0.434,0.395,0.479,3.27,0.679,0.097,0.39,0.388,0.384,2
SOUTHEAST / IT CORRIDOR,Bi-directional,12.917264,77.615291,BTM Layout,BTM Layout,29th Main Road,tertiary,tertiary,none,7.5m,30.0,0.2,0.57,0.814,0.606,0.065,0.49,0.658,0.714,0.383,0.593,0.174,0.424,0.623,0.276,0.426,4.09,0.698,0.199,0.458,0.646,0.42,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.91022,77.606506,BTM Layout,BTM Layout,7th Main Road,tertiary,tertiary,none,7.5m,30.0,0.3,0.36,0.725,0.601,0.288,0.849,0.591,0.694,0.383,0.548,0.174,0.545,0.588,0.223,0.396,2.75,0.7,0.095,0.386,0.529,0.449,8
SOUTHEAST / IT CORRIDOR,Bi-directional,12.920069,77.60793,BTM Layout,BTM Layout,Maruthi Layout Main Road,residential,residential,none,7.5m,30.0,0.28,0.35,0.638,0.451,0.424,0.413,0.605,0.586,0.304,0.495,0.087,0.436,0.514,0.288,0.364,1.27,0.548,0.178,0.324,0.487,0.354,8
SOUTHEAST / IT CORRIDOR,Bi-directional,12.912251,77.603855,BTM Layout,BTM Layout,1st Main Road,residential,residential,none,7.5m,30.0,0.51,0.4,0.587,0.45,0.034,0.328,0.525,0.673,0.49,0.519,0.07,0.504,0.542,0.277,0.425,11.64,0.641,0.089,0.306,0.482,0.345,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.912915,77.607857,BTM Layout,BTM Layout,9th Cross Road,residential,residential,none,7.5m,30.0,0.43,0.49,0.665,0.398,0.203,0.839,0.487,0.607,0.353,0.443,0.189,0.406,0.533,0.312,0.397,21.46,0.617,0.192,0.303,0.449,0.489,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.918477,77.611596,BTM Layout,BTM Layout,18th Main Road,residential,residential,none,7.5m,30.0,0.15,0.25,0.688,0.472,0.299,0.59,0.562,0.671,0.455,0.52,0.152,0.355,0.504,0.318,0.407,4.21,0.619,0.25,0.357,0.545,0.473,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.919916,77.616666,BTM Layout,BTM Layout,,residential,residential,none,7.5m,30.0,0.51,0.57,0.63,0.387,0.307,0.757,0.511,0.663,0.427,0.457,0.159,0.47,0.519,0.378,0.427,6.13,0.692,0.249,0.407,0.499,0.507,6
