zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count
SOUTHEAST / IT CORRIDOR,Bi-directional,12.909317,77.633261,HSR Layout,HSR Layout,,residential,residential,none,7.5m,30.0,0.25,0.33,0.683,0.423,0.055,0.136,0.57,0.653,0.319,0.422,0.169,0.443,0.447,0.291,0.341,4.9,0.504,0.192,0.333,0.432,0.366,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.907679,77.643098,HSR Layout,HSR Layout,18th Main Road,residential,residential,none,7.5m,30.0,0.2,0.28,0.681,0.448,0.435,0.644,0.582,0.674,0.411,0.467,0.117,0.449,0.482,0.327,0.394,4.64,0.492,0.262,0.329,0.455,0.427,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.917822,77.643031,HSR Layout,HSR Layout,17th A Main Road,residential,residential,none,7.5m,30.0,0.15,0.21,0.632,0.55,0.296,0.231,0.548,0.595,0.461,0.427,0.197,0.339,0.439,0.399,0.441,11.78,0.466,0.287,0.348,0.428,0.393,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.91328,77.634062,HSR Layout,HSR Layout,,residential,residential,none,7.5m,30.0,0.57,0.67,0.66,0.508,0.471,0.414,0.589,0.638,0.36,0.38,0.072,0.455,0.58,0.361,0.444,4.32,0.613,0.159,0.289,0.363,0.371,8
SOUTHEAST / IT CORRIDOR,Bi-directional,12.905681,77.634206,HSR Layout,HSR Layout,,residential,residential,none,7.5m,30.0,0.45,0.63,0.659,0.51,0.488,0.471,0.531,0.673,0.49,0.397,0.163,0.46,0.498,0.388,0.485,12.42,0.63,0.203,0.311,0.431,0.456,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.90927,77.638968,HSR Layout,HSR Layout,22nd Cross Road,tertiary,tertiary,none,7.5m,30.0,0.47,0.25,0.795,0.537,0.466,0.188,0.617,0.814,0.359,0.504,0.186,0.482,0.586,0.234,0.34,10.73,0.659,0.164,0.511,0.513,0.276,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.917714,77.633401,HSR Layout,HSR Layout,2nd Avenue,residential,residential,none,7.5m,30.0,0.2,0.25,0.643,0.52,0.053,0.29,0.563,0.641,0.382,0.465,0.173,0.419,0.497,0.291,0.442,9.42,0.568,0.16,0.352,0.464,0.385,8
SOUTHEAST / IT CORRIDOR,Bi-directional,12.905142,77.642866,HSR Layout,HSR Layout,27th Cross Road,secondary,secondary,none,7.5m,40.0,0.44,0.25,0.731,0.583,0.234,0.493,0.669,0.751,0.347,0.608,0.12,0.549,0.609,0.256,0.4,4.33,0.694,0.121,0.421,0.668,0.325,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.90491,77.643669,HSR Layout,HSR Layout,27th Cross Road,secondary,secondary,none,7.5m,40.0,0.35,0.33,0.762,0.546,0.362,0.769,0.689,0.707,0.307,0.582,0.06,0.635,0.651,0.188,0.375,2.61,0.611,0.068,0.5,0.629,0.369,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.913189,77.636811,HSR Layout,HSR Layout,12th Main Road,residential,residential,none,7.5m,30.0,0.4,0.21,0.593,0.514,0.496,0.896,0.56,0.625,0.372,0.486,0.144,0.454,0.465,0.327,0.438,16.74,0.504,0.247,0.325,0.522,0.45,6
