zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count
EAST BANGALORE,Bi-directional,12.979162,77.64338,Indiranagar,Indiranagar,Sri Krishna Temple Road,tertiary,tertiary,none,7.5m,30.0,0.28,0.65,0.861,0.738,0.199,0.561,0.593,0.777,0.236,0.493,0.193,0.528,0.642,0.293,0.352,6.49,0.652,0.285,0.482,0.465,0.375,6
EAST BANGALORE,Bi-directional,12.967145,77.641492,Indiranagar,Indiranagar,100 Feet Road,primary,primary,none,7.5m,25.0,0.33,0.27,0.766,0.718,0.341,0.338,0.722,0.846,0.298,0.536,0.058,0.682,0.537,0.257,0.376,6.5,0.714,0.139,0.637,0.513,0.264,3
EAST BANGALORE,Bi-directional,12.966764,77.641805,Indiranagar,Indiranagar,15th Main Road,residential,residential,none,7.5m,30.0,0.28,0.5,0.77,0.526,0.374,0.847,0.527,0.673,0.405,0.463,0.134,0.409,0.445,0.324,0.417,6.02,0.571,0.172,0.361,0.426,0.527,5
EAST BANGALORE,Bi-directional,12.977232,77.643158,Indiranagar,Indiranagar,1st Main Road,residential,residential,none,7.5m,30.0,0.51,0.53,0.639,0.617,0.115,0.629,0.582,0.677,0.357,0.463,0.197,0.419,0.526,0.378,0.374,4.79,0.556,0.245,0.36,0.481,0.431,6
EAST BANGALORE,Bi-directional,12.973135,77.636377,Indiranagar,Indiranagar,6th Main Road,residential,residential,none,7.5m,30.0,0.48,0.57,0.749,0.547,0.245,0.693,0.503,0.596,0.399,0.437,0.176,0.389,0.513,0.301,0.436,9.33,0.551,0.23,0.377,0.44,0.491,6
EAST BANGALORE,Bi-directional,12.966673,77.636816,Indiranagar,Indiranagar,3rd Cross Road,tertiary,tertiary,none,7.5m,30.0,0.29,0.4,0.868,0.661,0.172,0.578,0.596,0.791,0.398,0.569,0.139,0.536,0.554,0.266,0.412,4.96,0.693,0.246,0.425,0.538,0.359,5
EAST BANGALORE,Bi-directional,12.978323,77.639294,Indiranagar,Indiranagar,,secondary_link,secondary_link,none,7.5m,35.0,0.34,0.5,0.76,0.726,0.461,0.857,0.56,0.74,0.366,0.44,0.127,0.53,0.628,0.307,0.383,0.85,0.691,0.236,0.291,0.446,0.446,6
EAST BANGALORE,Bi-directional,12.974613,77.637784,Indiranagar,Indiranagar,,living_street,living_street,none,7.5m,20.0,0.3,0.26,0.676,0.489,0.246,0.37,0.528,0.704,0.376,0.398,0.157,0.341,0.494,0.312,0.382,3.28,0.559,0.147,0.369,0.397,0.403,8
EAST BANGALORE,Bi-directional,12.973652,77.639618,Indiranagar,Indiranagar,,residential,residential,none,7.5m,30.0,0.16,0.56,0.638,0.579,0.137,0.393,0.599,0.577,0.408,0.378,0.099,0.419,0.507,0.359,0.404,2.41,0.497,0.27,0.35,0.405,0.413,6
EAST BANGALORE,Bi-directional,12.974645,77.633415,Indiranagar,Indiranagar,7th Cross Road,residential,residential,none,7.5m,30.0,0.54,0.44,0.754,0.551,0.082,0.797,0.599,0.643,0.301,0.399,0.112,0.499,0.517,0.372,0.391,2.76,0.515,0.151,0.403,0.443,0.464,6
EAST BANGALORE,Bi-directional,12.970454,77.636735,Indiranagar,Indiranagar,11th Main Road,residential,residential,none,7.5m,30.0,0.56,0.58,0.724,0.628,0.433,0.691,0.584,0.641,0.363,0.371,0.116,0.504,0.62,0.339,0.411,14.99,0.554,0.223,0.406,0.338,0.487,8
EAST BANGALORE,Bi-directional,12.97268,77.646471,Indiranagar,Indiranagar,9th Main Road,residential,residential,none,7.5m,30.0,0.6,0.27,0.747,0.679,0.427,0.35,0.578,0.695,0.414,0.418,0.145,0.476,0.47,0.401,0.458,9.15,0.626,0.228,0.404,0.457,0.418,6
EAST BANGALORE,Bi-directional,12.974307,77.646837,Indiranagar,Indiranagar,80 Feet Road,secondary,secondary,none,7.5m,40.0,0.37,0.2,0.866,0.674,0.077,0.491,0.608,0.795,0.368,0.477,0.152,0.647,0.544,0.255,0.362,5.4,0.676,0.248,0.458,0.5,0.402,6
EAST BANGALORE,Bi-directional,12.980142,77.645829,Indiranagar,Indiranagar,1st Main Road,residential,residential,none,7.5m,30.0,0.17,0.31,0.708,0.677,0.49,0.22,0.606,0.657,0.402,0.374,0.125,0.418,0.486,0.337,0.42,0.37,0.524,0.111,0.376,0.391,0.33,6
EAST BANGALORE,Bi-directional,12.97818,77.640825,Indiranagar,Indiranagar,100 Feet Road,primary,primary,none,7.5m,50.0,0.38,0.42,0.83,0.644,0.407,0.861,0.709,0.841,0.293,0.536,0.12,0.64,0.629,0.265,0.427,3.15,0.75,0.124,0.593,0.52,0.425,4
