zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count
SOUTHEAST / IT CORRIDOR,Bi-directional,12.93448,77.629672,Koramangala,Koramangala,80 Feet Road,secondary,secondary,none,7.5m,40.0,0.2,0.46,0.858,0.774,0.03,0.136,0.678,0.832,0.295,0.593,0.147,0.499,0.563,0.254,0.378,0.55,0.712,0.251,0.404,0.641,0.253,4
SOUTHEAST / IT CORRIDOR,Bi-directional,12.939229,77.62092,Koramangala,Koramangala,4th Cross Road,residential,residential,none,7.5m,30.0,0.58,0.36,0.726,0.654,0.308,0.291,0.595,0.693,0.371,0.444,0.111,0.408,0.526,0.368,0.415,4.12,0.649,0.175,0.349,0.451,0.401,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.932273,77.624657,Koramangala,Koramangala,,residential,residential,none,7.5m,30.0,0.35,0.38,0.74,0.589,0.154,0.44,0.602,0.723,0.301,0.465,0.109,0.403,0.545,0.319,0.401,5.59,0.546,0.276,0.302,0.481,0.369,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.934834,77.620171,Koramangala,Koramangala,17th C Main Road,residential,residential,none,7.5m,30.0,0.43,0.36,0.826,0.666,0.277,0.457,0.604,0.703,0.402,0.45,0.189,0.456,0.501,0.283,0.377,4.99,0.581,0.196,0.339,0.415,0.404,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.933949,77.62897,Koramangala,Koramangala,12th Main Road,residential,residential,none,7.5m,30.0,0.29,0.33,0.712,0.64,0.491,0.805,0.656,0.63,0.376,0.502,0.074,0.423,0.579,0.242,0.37,3.02,0.589,0.204,0.281,0.446,0.419,8
SOUTHEAST / IT CORRIDOR,Bi-directional,12.937082,77.630982,Koramangala,Koramangala,,residential,residential,none,7.5m,30.0,0.36,0.6,0.793,0.689,0.472,0.668,0.623,0.75,0.386,0.467,0.081,0.402,0.429,0.334,0.382,2.13,0.653,0.061,0.3,0.5,0.422,2
SOUTHEAST / IT CORRIDOR,Bi-directional,12.941763,77.629186,Koramangala,Koramangala,Pipeline Road,residential,residential,none,7.5m,30.0,0.5,0.5,0.762,0.579,0.009,0.18,0.657,0.728,0.305,0.442,0.119,0.422,0.486,0.376,0.385,2.81,0.64,0.228,0.284,0.407,0.342,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.936084,77.628874,Koramangala,Koramangala,"1st Cross, Green Leaf Extension",residential,residential,none,7.5m,30.0,0.56,0.44,0.732,0.726,0.137,0.488,0.635,0.744,0.498,0.501,0.055,0.49,0.558,0.348,0.439,10.89,0.679,0.274,0.411,0.452,0.388,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.932616,77.623324,Koramangala,Koramangala,7th C Cross Road,residential,residential,none,7.5m,30.0,0.5,0.64,0.727,0.752,0.484,0.721,0.664,0.652,0.306,0.445,0.179,0.394,0.553,0.359,0.374,4.75,0.622,0.067,0.29,0.492,0.415,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.941999,77.629753,Koramangala,Koramangala,,residential,residential,none,7.5m,30.0,0.25,0.22,0.749,0.602,0.018,0.833,0.612,0.662,0.381,0.515,0.16,0.402,0.485,0.353,0.396,2.66,0.605,0.192,0.332,0.572,0.47,6
