zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count
EAST BANGALORE,Bi-directional,12.996291,77.692752,Mahadevapura,Mahadevapura,,tertiary,tertiary,none,7.5m,30.0,0.55,0.53,0.603,0.29,0.153,0.827,0.506,0.657,0.382,0.427,0.093,0.551,0.654,0.37,0.478,2.28,0.683,0.272,0.512,0.433,0.452,6
EAST BANGALORE,Bi-directional,12.999138,77.685942,Mahadevapura,Mahadevapura,5th Cross Road,residential,residential,none,7.5m,30.0,0.53,0.45,0.462,0.219,0.419,0.581,0.503,0.528,0.339,0.366,0.144,0.442,0.575,0.445,0.468,2.44,0.577,0.264,0.42,0.328,0.481,8
EAST BANGALORE,Bi-directional,12.991208,77.688997,Mahadevapura,Mahadevapura,,residential,residential,none,7.5m,30.0,0.28,0.63,0.463,0.209,0.447,0.569,0.412,0.526,0.469,0.298,0.079,0.349,0.569,0.393,0.427,3.58,0.465,0.27,0.286,0.274,0.463,8
EAST BANGALORE,Bi-directional,12.989982,77.698035,Mahadevapura,Mahadevapura,Goshala Road,tertiary,tertiary,none,7.5m,30.0,0.14,0.48,0.614,0.291,0.032,0.279,0.525,0.649,0.278,0.383,0.12,0.471,0.542,0.325,0.418,1.72,0.599,0.289,0.483,0.394,0.361,6
EAST BANGALORE,Bi-directional,12.997494,77.690408,Mahadevapura,Mahadevapura,Whitefield Road,primary,primary,none,7.5m,50.0,0.33,0.66,0.509,0.212,0.434,0.841,0.627,0.785,0.228,0.507,0.191,0.688,0.712,0.347,0.377,23.1,0.699,0.168,0.659,0.483,0.473,6
EAST BANGALORE,Bi-directional,12.993447,77.696675,Mahadevapura,Mahadevapura,,residential,residential,none,7.5m,30.0,0.37,0.37,0.54,0.257,0.252,0.296,0.396,0.496,0.43,0.269,0.169,0.467,0.464,0.508,0.504,5.19,0.516,0.289,0.416,0.251,0.487,6
EAST BANGALORE,Bi-directional,12.996166,77.693205,Mahadevapura,Mahadevapura,,tertiary,tertiary,none,7.5m,30.0,0.53,0.45,0.604,0.3,0.256,0.76,0.555,0.628,0.284,0.452,0.112,0.539,0.63,0.388,0.403,2.74,0.626,0.255,0.422,0.423,0.427,6
EAST BANGALORE,Bi-directional,12.994392,77.692315,Mahadevapura,Mahadevapura,,residential,residential,none,7.5m,30.0,0.35,0.41,0.515,0.232,0.283,0.405,0.451,0.499,0.348,0.383,0.138,0.37,0.501,0.46,0.471,5.95,0.445,0.201,0.42,0.357,0.409,6
EAST BANGALORE,Bi-directional,12.993458,77.693438,Mahadevapura,Mahadevapura,,residential,residential,none,7.5m,30.0,0.43,0.64,0.481,0.239,0.02,0.651,0.448,0.541,0.401,0.36,0.165,0.396,0.6,0.463,0.496,2.67,0.482,0.233,0.432,0.371,0.492,8
EAST BANGALORE,Bi-directional,12.997151,77.686777,Mahadevapura,Mahadevapura,3rd Cross Road,residential,residential,none,7.5m,30.0,0.17,0.67,0.543,0.194,0.036,0.212,0.474,0.547,0.472,0.396,0.108,0.34,0.605,0.419,0.443,13.13,0.548,0.293,0.38,0.364,0.391,8
EAST BANGALORE,Bi-directional,12.995013,77.6968,Mahadevapura,Mahadevapura,,residential,residential,none,7.5m,30.0,0.19,0.34,0.548,0.221,0.274,0.785,0.405,0.476,0.362,0.32,0.195,0.43,0.39,0.512,0.472,3.75,0.422,0.067,0.362,0.309,0.554,4
EAST BANGALORE,Bi-directional,12.996945,77.6864,Mahadevapura,Mahadevapura,4th Cross Road,residential,residential,none,7.5m,30.0,0.24,0.21,0.466,0.251,0.469,0.888,0.418,0.504,0.304,0.37,0.145,0.43,0.435,0.435,0.418,9.72,0.435,0.245,0.377,0.387,0.551,6
EAST BANGALORE,Bi-directional,12.99448,77.698474,Mahadevapura,Mahadevapura,,residential,residential,none,7.5m,30.0,0.23,0.52,0.497,0.192,0.163,0.552,0.423,0.578,0.332,0.306,0.162,0.429,0.439,0.439,0.452,6.48,0.506,0.292,0.297,0.307,0.477,4
EAST BANGALORE,Bi-directional,12.990134,77.68701,Mahadevapura,Mahadevapura,Kaggadasapura To outer Ring Road,tertiary,tertiary,none,7.5m,30.0,0.54,0.52,0.638,0.247,0.063,0.674,0.589,0.602,0.364,0.393,0.186,0.581,0.638,0.412,0.443,0.76,0.58,0.247,0.518,0.402,0.491,6
EAST BANGALORE,Bi-directional,12.990486,77.6882,Mahadevapura,Mahadevapura,ORR Service Road,tertiary,tertiary,none,7.5m,30.0,0.18,0.66,0.525,0.252,0.401,0.405,0.577,0.627,0.305,0.485,0.131,0.423,0.49,0.41,0.469,3.13,0.639,0.149,0.422,0.456,0.39,4
EAST BANGALORE,Bi-directional,12.993113,77.693948,Mahadevapura,Mahadevapura,,residential,residential,none,7.5m,30.0,0.51,0.28,0.471,0.237,0.438,0.709,0.451,0.568,0.467,0.261,0.133,0.47,0.588,0.398,0.483,2.02,0.555,0.27,0.327,0.288,0.494,8
EAST BANGALORE,Bi-directional,12.991587,77.69215,Mahadevapura,Mahadevapura,,residential,residential,none,7.5m,30.0,0.42,0.6,0.549,0.239,0.075,0.897,0.485,0.505,0.414,0.401,0.11,0.449,0.532,0.445,0.458,2.32,0.59,0.081,0.31,0.393,0.572,6
EAST BANGALORE,Bi-directional,12.989797,77.698358,Mahadevapura,Mahadevapura,,residential,residential,none,7.5m,30.0,0.36,0.41,0.493,0.196,0.175,0.776,0.453,0.46,0.418,0.312,0.11,0.38,0.397,0.552,0.47,4.14,0.44,0.292,0.411,0.296,0.565,2
EAST BANGALORE,Bi-directional,12.993684,77.688797,Mahadevapura,Mahadevapura,,residential,residential,none,7.5m,30.0,0.32,0.52,0.549,0.206,0.006,0.102,0.415,0.48,0.461,0.361,0.149,0.412,0.407,0.478,0.487,4.95,0.502,0.12,0.379,0.396,0.407,2
