zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count
SOUTHEAST / IT CORRIDOR,Bi-directional,12.918352,77.619025,Silk Board,Silk Board,,tertiary,tertiary,none,7.5m,30.0,0.2,0.63,0.626,0.251,0.378,0.371,0.644,0.65,0.243,0.497,0.053,0.454,0.565,0.373,0.439,4.9,0.738,0.175,0.416,0.537,0.393,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.91205,77.627526,Silk Board,Silk Board,,residential,residential,none,7.5m,30.0,0.33,0.46,0.501,0.225,0.275,0.868,0.467,0.582,0.489,0.355,0.088,0.444,0.389,0.503,0.475,7.46,0.595,0.073,0.403,0.378,0.584,2
SOUTHEAST / IT CORRIDOR,Bi-directional,12.921093,77.619831,Silk Board,Silk Board,1st Main Road,residential,residential,none,7.5m,30.0,0.52,0.47,0.444,0.238,0.47,0.712,0.542,0.644,0.406,0.381,0.095,0.487,0.522,0.452,0.498,2.32,0.702,0.222,0.353,0.397,0.51,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.910236,77.624379,Silk Board,Silk Board,Viratnagar Main Road,residential,residential,none,7.5m,30.0,0.29,0.31,0.444,0.224,0.178,0.434,0.529,0.623,0.444,0.341,0.102,0.37,0.466,0.434,0.49,6.67,0.67,0.286,0.399,0.322,0.465,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.91771,77.623745,Silk Board,Silk Board,Service Road,trunk_link,trunk_link,none,7.5m,55.0,0.49,0.26,0.398,0.17,0.015,0.763,0.633,0.72,0.255,0.367,0.07,0.669,0.561,0.369,0.394,12.55,0.736,0.26,0.661,0.365,0.392,4
SOUTHEAST / IT CORRIDOR,Bi-directional,12.915607,77.619098,Silk Board,Silk Board,2nd Cross Road,residential,residential,none,7.5m,30.0,0.48,0.39,0.489,0.195,0.11,0.847,0.526,0.607,0.355,0.399,0.119,0.403,0.501,0.407,0.448,3.81,0.703,0.14,0.284,0.383,0.462,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.917389,77.626211,Silk Board,Silk Board,Outer Ring Road,trunk,trunk,none,7.5m,60.0,0.31,0.39,0.527,0.241,0.475,0.889,0.634,0.849,0.293,0.568,0.095,0.751,0.591,0.309,0.385,61.04,0.692,0.158,0.575,0.532,0.443,4
SOUTHEAST / IT CORRIDOR,Bi-directional,12.916674,77.627536,Silk Board,Silk Board,13th Cross Road,residential,residential,none,7.5m,30.0,0.41,0.38,0.456,0.238,0.198,0.732,0.534,0.62,0.372,0.348,0.058,0.466,0.541,0.355,0.459,5.84,0.604,0.177,0.323,0.307,0.509,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.922412,77.619027,Silk Board,Silk Board,,residential,residential,none,7.5m,30.0,0.49,0.37,0.5,0.236,0.478,0.743,0.53,0.657,0.421,0.444,0.1,0.495,0.532,0.408,0.461,3.21,0.711,0.267,0.351,0.427,0.494,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.910919,77.628328,Silk Board,Silk Board,,residential,residential,none,7.5m,30.0,0.22,0.69,0.554,0.253,0.164,0.69,0.507,0.581,0.366,0.404,0.098,0.44,0.477,0.412,0.472,8.09,0.716,0.272,0.415,0.38,0.452,6
SOUTHEAST / IT CORRIDOR,Bi-directional,12.923278,77.620204,Silk Board,Silk Board,,living_street,living_street,none,7.5m,20.0,0.29,0.21,0.408,0.213,0.42,0.719,0.499,0.582,0.202,0.422,0.087,0.346,0.394,0.312,0.395,2.1,0.666,0.166,0.381,0.429,0.409,6
